ppo_step,t_wall_s,t_sim_s,ppo_step_sim_dt,inner_ticks,x,y,yaw,goal_distance_m,goal_distance_norm,ppo_reward,ppo_reward_cumulative,navigation_reward,terminal_reward,frame_cost_reward,fresh_observation,frame_consumed,episode_frame_count,current_fps,scan_divisor_k,obs_age_ratio,fps_ratio,frame_count_ratio,action_linear,action_angular,outcome,done
1,0.08223422709852457,0.0799999999999983,0.10099999999999909,68,-2.4854513834368097,2.2462708495998833,1.5937503424124682,3.752778757622819,0.6318131685256958,-0.002338554759730984,-0.002338554759730984,-0.002338554759730984,0.0,-0.0,False,False,1,10.0,5,0.016,1.0,0.002,0.9955008625984192,-0.3368651568889618,0,False
2,0.18363715102896094,0.17999999999999972,0.10099999999999909,164,-2.4857165718061642,2.2651755506599867,1.5649228086682132,3.7702513743051074,0.6347548365592957,-0.007166802517367066,-0.00950535727709805,-0.004666802517367066,0.0,-0.0025,True,True,2,5.0,10,0.016,0.5,0.004,0.9901344776153564,-0.3413507044315338,0,False
3,0.2833046689629555,0.28000000000000114,0.10000000000000142,165,-2.4847938921100714,2.2870387956051146,1.4945419442402255,3.7899936999321437,0.6380786299705505,-0.0052730244479252415,-0.014778381725023292,-0.0052730244479252415,0.0,-0.0,False,False,2,5.0,10,0.036,0.5,0.004,0.9860504269599915,-0.33753931522369385,0,False
4,0.3837396912276745,0.38000000000000256,0.10000000000000142,166,-2.4826934177846405,2.3064561066528224,1.4253748690553052,3.8070478489849373,0.6409498453140259,-0.00705503300841062,-0.021833414733433913,-0.00455503300841062,0.0,-0.0025,True,True,3,5.0,10,0.016,0.5,0.006,0.7018977999687195,-0.39742136001586914,0,False
5,0.48370304610580206,0.4799999999999969,0.10000000000000142,165,-2.4798365525211428,2.3217887121199023,1.345260358063007,3.8200670779249104,0.6431417465209961,-0.003477336651746812,-0.025310751385180727,-0.003477336651746812,0.0,-0.0,False,False,3,5.0,10,0.036,0.5,0.006,0.702467143535614,-0.39694342017173767,0,False
6,0.6834307690151036,0.6799999999999997,0.19999999999999574,330,-2.4704673861518036,2.3515952998557093,1.1848509248354824,3.8439696515334996,0.6471659541130066,-0.008884194921484723,-0.03419494630666545,-0.006384194921484723,0.0,-0.0025,True,True,4,5.0,10,0.036,0.5,0.008,0.7143707871437073,-0.4035407602787018,0,False
7,0.7837549219839275,0.7800000000000011,0.10000000000000142,166,-2.4640679322681582,2.3656878980699854,1.0976097413941575,3.8545591483742982,0.6489487886428833,-0.005328373758372702,-0.03952332006503815,-0.002828373758372702,0.0,-0.0025,True,True,5,5.0,10,0.016,0.5,0.01,0.6954060196876526,-0.46137022972106934,0,False
8,0.8838101071305573,0.8800000000000026,0.10000000000000142,166,-2.4563751983281734,2.3791567245786553,1.0056801604281989,3.8641159294154037,0.6505577564239502,-0.00255254325276684,-0.04207586331780499,-0.00255254325276684,0.0,-0.0,False,False,5,5.0,10,0.036,0.5,0.01,0.7063285112380981,-0.45783790946006775,0,False
9,0.9837396428920329,0.9799999999999969,0.10000000000000142,165,-2.447473997738808,2.3918924216574253,0.9155672783046422,3.872579454923616,0.6519826650619507,-0.004760543046626986,-0.046836406364431975,-0.002260543046626986,0.0,-0.0025,True,True,6,5.0,10,0.016,0.5,0.012,0.692554771900177,-0.4380740225315094,0,False
10,1.1835266249254346,1.1799999999999997,0.19999999999999574,331,-2.426208512307636,2.4149636385738837,0.7242830871820909,3.886133274490101,0.6542645692825317,-0.006120121726640301,-0.05295652809107228,-0.0036201217266403013,0.0,-0.0025,True,True,7,5.0,10,0.016,0.5,0.014,0.7756633162498474,-0.6311579942703247,0,False
