step,wall_time,sim_time,x,y,goal_distance_m,current_fps,obs_interval,frame_consumed,frame_penalty,frame_cost,episode_frame_count,scans_since_last_obs,instant_reward,cumulative_reward,outcome,outcome_str
1,0.08373443502932787,0.08000000000004093,0.11301400437698152,-0.862460484108775,1.4622101574349495,10.0,5,False,0.0,0.0025,1,4,-0.008924698342484598,-0.008924698342484598,0,UNKNOWN: 0
2,0.18421994522213936,0.18000000000000682,0.10241747938192376,-0.8717999971492533,1.4760656135668573,5.0,10,True,0.0025,0.0025,2,4,-0.012060261790825684,-0.020984960133310283,0,UNKNOWN: 0
3,0.28525965102016926,0.28000000000002956,0.09562760221981469,-0.8764309731328797,1.4838730264402455,5.0,10,False,0.0,0.0025,2,9,-0.005387113225869463,-0.026372073359179744,0,UNKNOWN: 0
4,0.38512121606618166,0.37999999999999545,0.08922207943091068,-0.8791081461076007,1.489903545039154,5.0,10,True,0.0025,0.0025,3,4,-0.006661056553543428,-0.03303312991272317,0,UNKNOWN: 0
5,0.585323712322861,0.5800000000000409,0.07043522212971863,-0.8807757857087581,1.5027714246461243,5.0,10,True,0.0025,0.0025,4,4,-0.011378834198187087,-0.04441196411091026,0,UNKNOWN: 0
6,0.7852742308750749,0.7800000000000296,0.03327648834075776,-0.8693853584518113,1.5172397128141197,5.0,10,True,0.0025,0.0025,5,4,-0.012483115765680418,-0.056895079876590676,0,UNKNOWN: 0
7,0.8855873621068895,0.8799999999999955,0.014667286078921309,-0.8570372942537078,1.5197420217864297,5.0,10,False,0.0,0.0025,5,9,-0.0017265926598925558,-0.05862167253648323,0,UNKNOWN: 0
8,1.0858346582390368,1.080000000000041,-0.01461667955579492,-0.8236576902360225,1.5139530425616523,5.0,10,True,0.0025,0.0025,6,9,0.0014943944366487389,-0.05712727809983449,0,UNKNOWN: 0
9,1.285933705046773,1.2800000000000296,-0.03396724469352052,-0.7837301231473526,1.4978515977313385,5.0,10,True,0.0025,0.0025,7,9,0.00860999351611689,-0.0485172845837176,0,UNKNOWN: 0
10,1.3860247791744769,1.3799999999999955,-0.03917602324354838,-0.7620984690803667,1.4859137642010884,5.0,10,True,0.0025,0.0025,8,4,0.005737102602610067,-0.042780181981107536,0,UNKNOWN: 0
11,1.4867264870554209,1.4800000000000182,-0.04141600018388054,-0.7399719607368692,1.4717639291910716,5.0,10,False,0.0,0.0025,8,9,0.009763383154252446,-0.03301679882685509,0,UNKNOWN: 0
12,1.5880059711635113,1.580000000000041,-0.04100136942792965,-0.7177652949423623,1.4558605661193893,5.0,10,True,0.0025,0.0025,9,4,0.00847331714469496,-0.024543481682160133,0,UNKNOWN: 0
13,1.6886799088679254,1.6800000000000068,-0.03831161178678668,-0.6957356994761462,1.4386037328721069,5.0,10,False,0.0,0.0025,9,9,0.011907211278646563,-0.01263627040351357,0,UNKNOWN: 0
14,1.7899117032065988,1.7800000000000296,-0.03346854937636032,-0.6740842067366688,1.4201750486488276,5.0,10,True,0.0025,0.0025,10,4,0.01021578820341227,-0.0024204822001013,0,UNKNOWN: 0
15,1.9910288420505822,1.9800000000000182,-0.01898046210713587,-0.6323459527951505,1.3811553319247327,5.0,10,True,0.0025,0.0025,11,4,0.024423596259464515,0.022003114059363213,0,UNKNOWN: 0
16,2.0920627382583916,2.080000000000041,-0.010148420429589449,-0.6121053267186755,1.3610055137075534,5.0,10,False,0.0,0.0025,11,9,0.013903370293970867,0.03590648435333408,0,UNKNOWN: 0
17,2.1926887668669224,2.180000000000007,-0.0003461107735323097,-0.5923055136342241,1.3404855534373816,5.0,10,True,0.0025,0.0025,12,4,0.011658768231989842,0.047565252585323924,0,UNKNOWN: 0
18,2.293677883222699,2.2800000000000296,0.01054364801399142,-0.573073172395727,1.3195758907618238,5.0,10,False,0.0,0.0025,12,9,0.014427662809009598,0.06199291539433352,0,UNKNOWN: 0
19,2.394890937022865,2.3799999999999955,0.022368168785096936,-0.5544569340570921,1.2984069870357602,5.0,10,True,0.0025,0.0025,13,4,0.012106539078846464,0.07409945447317998,0,UNKNOWN: 0
20,2.4949486409313977,2.480000000000018,0.034538403411430614,-0.5361199782255122,1.2771894036996665,5.0,10,False,0.0,0.0025,13,9,0.014640127999437183,0.08873958247261717,0,UNKNOWN: 0
21,2.5958314472809434,2.6000000000000227,0.049318790007477714,-0.5147846350865705,1.2562185817322344,5.0,10,True,0.0025,0.0025,14,4,0.011969862707424533,0.1007094451800417,0,UNKNOWN: 0
22,2.7970297862775624,2.8000000000000114,0.07450870105828143,-0.480113923732019,1.2104180608560946,5.0,10,True,0.0025,0.0025,15,5,0.02910234968545813,0.12981179486549982,0,UNKNOWN: 0
23,2.8968862211331725,2.900000000000034,0.0875709345002736,-0.46305446270211753,1.18944476065397,5.0,10,True,0.0025,0.0025,16,0,0.011971572688836514,0.14178336755433632,0,UNKNOWN: 0
24,2.9973783511668444,3.0,0.10070823190905676,-0.44640163820117246,1.1686920233394729,5.0,10,False,0.0,0.0025,16,5,0.01431938434317798,0.1561027518975143,0,UNKNOWN: 0
