step,chosen_fps,prob_0.2hz,prob_0.5hz,prob_1hz,prob_5hz,prob_10hz
1,1.0,0.026989249512553215,0.17489780485630035,0.29103392362594604,0.2819271981716156,0.22515185177326202
9,1.0,0.014937627129256725,0.17810052633285522,0.3018360733985901,0.29798468947410583,0.20714101195335388
16,5.0,0.022388560697436333,0.19252590835094452,0.2874518036842346,0.29306355118751526,0.20457012951374054
17,5.0,0.020934998989105225,0.18884192407131195,0.2906170189380646,0.29361850023269653,0.20598754286766052
19,1.0,0.01855579763650894,0.18625390529632568,0.2950766980648041,0.29470354318618774,0.20541004836559296
27,5.0,0.018496131524443626,0.1916859894990921,0.29392752051353455,0.29483792185783386,0.2010524868965149
29,5.0,0.016512973234057426,0.18418827652931213,0.2968165874481201,0.29807335138320923,0.20440880954265594
30,5.0,0.015275009907782078,0.17997080087661743,0.2988322973251343,0.29987913370132446,0.20604275166988373
32,5.0,0.015037242323160172,0.18128158152103424,0.2985411286354065,0.3006552457809448,0.20448477566242218
34,5.0,0.015498527325689793,0.18522654473781586,0.2976604700088501,0.2994321286678314,0.20218226313591003
36,5.0,0.01607866771519184,0.18652373552322388,0.29656609892845154,0.2988493740558624,0.20198208093643188
38,5.0,0.018194178119301796,0.1913023591041565,0.2920388877391815,0.29746755957603455,0.20099709928035736
40,5.0,0.020120669156312943,0.19382263720035553,0.28858599066734314,0.2960875630378723,0.20138317346572876
42,5.0,0.02021857723593712,0.1906489133834839,0.2880610525608063,0.2971575856208801,0.2039138525724411
44,5.0,0.021654553711414337,0.1922990381717682,0.2864270508289337,0.29542121291160583,0.2041982114315033
46,5.0,0.021763531491160393,0.19180788099765778,0.2863709628582001,0.2951972484588623,0.2048603892326355
48,5.0,0.02012457326054573,0.18825724720954895,0.2893151044845581,0.2964302599430084,0.2058728039264679
50,5.0,0.019517695531249046,0.18741092085838318,0.2894665598869324,0.29801347851753235,0.2055913209915161
52,5.0,0.018805844709277153,0.18769097328186035,0.28984519839286804,0.2991899847984314,0.2044679969549179
54,5.0,0.017386145889759064,0.18764427304267883,0.2923969030380249,0.2997784912586212,0.20279420912265778
56,5.0,0.018445758149027824,0.18909475207328796,0.29133397340774536,0.2980867326259613,0.20303884148597717
58,5.0,0.022224798798561096,0.19324566423892975,0.28651049733161926,0.29429635405540466,0.20372267067432404
60,5.0,0.02123003453016281,0.1914079189300537,0.28740206360816956,0.29629701375961304,0.20366297662258148
62,5.0,0.020494241267442703,0.1919657588005066,0.2890772521495819,0.2960841655731201,0.2023785561323166
64,5.0,0.018230145797133446,0.19074732065200806,0.2925533056259155,0.2970729470252991,0.20139628648757935
66,5.0,0.01794118620455265,0.19135083258152008,0.2940784692764282,0.2957729399204254,0.200856551527977
68,1.0,0.018080279231071472,0.19081614911556244,0.2949523329734802,0.2943055033683777,0.20184575021266937
77,5.0,0.02111210487782955,0.19427205622196198,0.2894895076751709,0.2937384843826294,0.20138779282569885
79,5.0,0.020253995433449745,0.19364327192306519,0.29066088795661926,0.2942005395889282,0.20124126970767975
81,5.0,0.021429864689707756,0.1966676265001297,0.2886832654476166,0.29317232966423035,0.20004688203334808
83,1.0,0.022867947816848755,0.19910475611686707,0.28945624828338623,0.28701427578926086,0.20155680179595947
93,1.0,0.010966944508254528,0.15091842412948608,0.312202513217926,0.30117347836494446,0.22473864257335663
103,1.0,0.00519937789067626,0.10569089651107788,0.3276458978652954,0.307611882686615,0.2538519501686096
113,1.0,0.005862073041498661,0.10981794446706772,0.32402506470680237,0.30513423681259155,0.25516068935394287
123,1.0,0.0064292652532458305,0.12409084290266037,0.31945881247520447,0.3096686005592346,0.24035248160362244
133,1.0,0.00676886597648263,0.11900777369737625,0.3217105269432068,0.30377197265625,0.24874082207679749
143,5.0,0.013829033821821213,0.1739676594734192,0.2965799868106842,0.3046146631240845,0.21100863814353943
