episode,policy_type,fixed_fps,mean_fps,success,outcome,outcome_str,n_steps,episode_return,fresh_observations,native_scans,final_goal_distance_m,final_obs_interval,fresh_observation_ratio,native_scans_per_fresh_observation
1,adaptive,,3.552380952380952,False,4,TIMEOUT,409,-0.8745068866158953,106,2546,0.7490137761972508,50,0.041633935585231735,24.0188679245283
2,adaptive,,3.6666666666666665,False,3,COLL_OBST,194,-2.2585245469343938,49,1076,2.513795944142981,50,0.04553903345724907,21.959183673469386
3,adaptive,,4.875,True,1,SUCCESS,67,2.3785176644439274,33,356,0.1967615012261975,10,0.09269662921348315,10.787878787878787
4,adaptive,,4.2727272727272725,True,1,SUCCESS,101,2.4008320343035545,34,568,0.19914341667206492,10,0.05985915492957746,16.705882352941178
5,adaptive,,3.3157894736842106,True,1,SUCCESS,327,2.4530431073529417,77,2042,0.1983798548616476,10,0.03770812928501469,26.51948051948052
6,adaptive,,4.630769230769231,True,1,SUCCESS,170,2.4032093269461563,66,889,0.19901253490237042,10,0.07424071991001124,13.469696969696969
7,adaptive,,1.4285714285714286,False,4,TIMEOUT,504,-1.373525465784577,57,2524,3.932006814781286,50,0.022583201267828843,44.280701754385966
8,adaptive,,4.166666666666667,True,1,SUCCESS,83,2.373568167574906,25,444,0.19977021090539318,50,0.05630630630630631,17.76
9,adaptive,,5.0,False,3,COLL_OBST,5,-1.5158478010045313,4,26,2.005674634313704,10,0.15384615384615385,6.5
10,adaptive,,3.909090909090909,True,1,SUCCESS,44,2.3015356602509285,12,229,0.19972830218657636,10,0.05240174672489083,19.083333333333332
1,adaptive,,3.918918918918919,False,3,COLL_OBST,143,-1.6353363749976215,38,766,2.085672758252741,10,0.04960835509138381,20.157894736842106
2,adaptive,,3.202247191011236,True,1,SUCCESS,391,2.1387211268344717,90,2453,0.19873127739187388,50,0.036689767631471665,27.255555555555556
3,adaptive,,4.714285714285714,True,1,SUCCESS,65,2.310387380164955,29,358,0.19607531786863258,10,0.08100558659217877,12.344827586206897
