ppo_step,t_wall_s,t_sim_s,ppo_step_sim_dt,inner_ticks,x,y,yaw,goal_distance_m,goal_distance_norm,ppo_reward,ppo_reward_cumulative,navigation_reward,terminal_reward,frame_cost_reward,fresh_observation,frame_consumed,episode_frame_count,current_fps,scan_divisor_k,obs_age_ratio,fps_ratio,frame_count_ratio,action_linear,action_angular,outcome,done
1,0.07870229496620595,0.0799999999999983,0.10000000000000853,62,1.1557019965771014,1.0881603761639511,-0.6498642106289796,2.252388208449075,0.3792092800140381,0.0039828468544854875,0.0039828468544854875,0.0039828468544854875,0.0,-0.0,False,False,1,10.0,5,0.016,1.0,0.002,0.9998911023139954,-0.6934325098991394,0,False
2,0.27876755502074957,0.2400000000000091,0.1729999999999876,351,1.1786973226310584,1.0677180312456158,-0.8194906160222397,2.2248585613513354,0.3745744228363037,0.0121737454611663,0.016156592315651787,0.0121737454611663,0.0,-0.0,True,True,3,10.0,5,0.008,1.0,0.006,1.0,-0.6675243377685547,0,False
3,0.3785966469440609,0.3400000000000034,0.10000000000000853,183,1.1927207672844982,1.0505926046331882,-0.9495935981325608,2.2037762188227434,0.371025025844574,0.009322715643865684,0.025479307959517472,0.009322715643865684,0.0,-0.0,True,True,4,10.0,5,0.008,1.0,0.008,0.9978077411651611,-0.35683754086494446,0,False
4,0.47861512703821063,0.4399999999999977,0.09999999999999432,166,1.2048150983761754,1.0322230784883795,-1.0179856948548753,2.1822578840050455,0.36740222573280334,0.00951551358027813,0.034994821539795606,0.00951551358027813,0.0,-0.0,True,True,5,10.0,5,0.008,1.0,0.01,0.9996201395988464,-0.19032201170921326,0,False
5,0.5787484170868993,0.5400000000000063,0.10000000000000853,168,1.2160280440505684,1.013219206746505,-1.0543603008289963,2.160477564377004,0.3637353181838989,0.009631364553030932,0.044626186092826536,0.009631364553030932,0.0,-0.0,True,True,6,10.0,5,0.008,1.0,0.012,0.9999796748161316,-0.2216891497373581,0,False
6,0.6787313069216907,0.6400000000000006,0.09999999999999432,170,1.2264593752447115,0.9937464170034205,-1.1012268950808937,2.1385485506674162,0.36004337668418884,0.009697117807836542,0.054323303900663075,0.009697117807836542,0.0,-0.0,True,True,7,10.0,5,0.008,1.0,0.014,0.99991375207901,-0.2577823996543884,0,False
7,0.7787085480522364,0.7400000000000091,0.09999999999999432,175,1.235931813510105,0.9737948253854954,-1.1525299688602784,2.1165221777377683,0.3563350439071655,0.009740170534197403,0.06406347443486048,0.009740170534197403,0.0,-0.0,True,True,8,10.0,5,0.008,1.0,0.016,0.9999974966049194,-0.07747448235750198,0,False
8,0.8790222860407084,0.8400000000000034,0.10000000000000853,178,1.24481633020805,0.9536344016127437,-1.163762484064112,2.0945142145515496,0.35262981057167053,0.009732029655031116,0.07379550408989159,0.009732029655031116,0.0,-0.0,True,True,9,10.0,5,0.008,1.0,0.018,0.999881386756897,-0.12461552768945694,0,False
9,0.9797078911215067,0.9399999999999977,0.10099999999999909,177,1.2532561779136955,0.9332764871680473,-1.1885718004268473,2.072482708135753,0.348920613527298,0.009742440587041877,0.08353794467693347,0.009742440587041877,0.0,-0.0,True,True,10,10.0,5,0.008,1.0,0.02,0.9995118975639343,-0.07402166724205017,0,False
10,1.0809415609110147,1.0400000000000063,0.10099999999999909,175,1.2613196682110113,0.9127981259472059,-1.2024206609210277,2.050474390916007,0.3452153205871582,0.009732186210399653,0.09327013088733313,0.009732186210399653,0.0,-0.0,True,True,11,10.0,5,0.008,1.0,0.022,0.999498724937439,-0.041417911648750305,0,False
11,1.1808896521106362,1.1400000000000006,0.09999999999999432,168,1.2691625782374423,0.8922440210212779,-1.2101091934972554,2.0284749245344487,0.3415115177631378,0.009728272326184851,0.10299840321351798,0.009728272326184851,0.0,-0.0,True,True,12,10.0,5,0.008,1.0,0.024,0.9992096424102783,-0.06601658463478088,0,False
12,1.2811633700039238,1.240000000000009,0.10000000000000853,162,1.2767707014889913,0.8716004816902824,-1.2238290243823482,2.006476697270236,0.33780792355537415,0.00972772438239507,0.11272612759591305,0.00972772438239507,0.0,-0.0,True,True,13,10.0,5,0.008,1.0,0.026,0.9977403879165649,-0.06053831800818443,0,False
13,1.3813141689170152,1.3400000000000034,0.09999999999999432,170,1.2840822221875188,0.8509951297363519,-1.2354199442838119,1.9846211455176026,0.33412835001945496,0.009664632568855178,0.12239076016476823,0.009664632568855178,0.0,-0.0,True,True,14,10.0,5,0.008,1.0,0.028,0.9713649153709412,0.034466445446014404,0,False
14,1.481147900922224,1.4399999999999977,0.10000000000000853,174,1.2911934296478624,0.830877791105452,-1.2262408459661018,1.9632932807376955,0.3305376172065735,0.00943128679197925,0.13182204695674749,0.00943128679197925,0.0,-0.0,True,True,15,10.0,5,0.008,1.0,0.03,0.9648371338844299,0.09913971275091171,0,False
15,1.58103899192065,1.5400000000000063,0.09999999999999432,168,1.298530178573903,0.810985840472028,-1.2070189627809742,1.9420941071450313,0.32696855068206787,0.009374378915498733,0.1411964258722462,0.009374378915498733,0.0,-0.0,True,True,16,10.0,5,0.008,1.0,0.032,0.9647077918052673,0.0066441735252738,0,False
16,1.6815606490708888,1.6400000000000006,0.09999999999999432,170,1.3059938160243068,0.791108041626182,-1.2097028617508334,1.9208625394846017,0.3233940303325653,0.009388703731724199,0.1505851296039704,0.009388703731724199,0.0,-0.0,True,True,17,10.0,5,0.008,1.0,0.034,0.9666581749916077,0.003986758645623922,0,False
17,1.7814468599390239,1.740000000000009,0.10000000000000853,172,1.3135291645322178,0.7711393087788322,-1.2114768015819095,1.8995201593300672,0.31980085372924805,0.009437705562091333,0.16002283516606175,0.009437705562091333,0.0,-0.0,True,True,18,10.0,5,0.008,1.0,0.036,0.9851310849189758,-0.06750152260065079,0,False
18,1.8816703991033137,1.8400000000000034,0.09999999999999432,164,1.3209194163222697,0.7509238440131754,-1.227049608530706,1.8780002313614959,0.3161777853965759,0.009516218079436646,0.1695390532454984,0.009516218079436646,0.0,-0.0,True,True,19,10.0,5,0.008,1.0,0.038,0.9459094405174255,-0.010998263955116272,0,False
19,1.9811768129002303,1.9399999999999977,0.10000000000000853,166,1.327981363845844,0.7311434682882907,-1.2293406242051752,1.8570048040639031,0.31264302134513855,0.009284281300878043,0.17882333454637644,0.009284281300878043,0.0,-0.0,True,True,20,10.0,5,0.008,1.0,0.04,0.9896312355995178,-0.04240507259964943,0,False
20,2.081646559992805,2.0400000000000063,0.09999999999999432,171,1.3351439722770095,0.7105689767116171,-1.239032326122533,1.8352328042237578,0.30897751450538635,0.009627685501869132,0.18845102004824557,0.009627685501869132,0.0,-0.0,True,True,21,10.0,5,0.008,1.0,0.042,0.9881840944290161,-0.023494716733694077,0,False
21,2.1816857899539173,2.1400000000000006,0.09999999999999432,167,1.3421833370491787,0.6899807142173241,-1.243681132772088,1.8134931984513778,0.3053174614906311,0.009613360685643666,0.19806438073388924,0.009613360685643666,0.0,-0.0,True,True,22,10.0,5,0.008,1.0,0.044,0.990161657333374,-0.0005237757577560842,0,False
22,2.2817455700132996,2.240000000000009,0.10000000000000853,170,1.3492044608239624,0.669334390413432,-1.2431558622762726,1.7917065062198414,0.3016494810581207,0.009634182549665483,0.2076985632835547,0.009634182549665483,0.0,-0.0,True,True,23,10.0,5,0.008,1.0,0.046,0.99849534034729,0.07666004449129105,0,False
23,2.3814145429059863,2.3400000000000034,0.09999999999999432,160,1.356403114349455,0.64861354494005,-1.2266042415910643,1.7697863433484409,0.29795902967453003,0.009693203923621937,0.21739176720717665,0.009693203923621937,0.0,-0.0,True,True,24,10.0,5,0.008,1.0,0.048,0.9991253614425659,0.1053817868232727,0,False
24,2.4816716709174216,2.4399999999999977,0.10000000000000853,163,1.3640103000526895,0.6280299596919892,-1.2059528376056723,1.747845646532446,0.29426512122154236,0.009702284134999838,0.2270940513421765,0.009702284134999838,0.0,-0.0,True,True,25,10.0,5,0.008,1.0,0.05,0.9997105002403259,0.09047673642635345,0,False
25,2.581954529043287,2.5400000000000063,0.09999999999999432,163,1.372016309216136,0.6075781711196713,-1.1880703701092665,1.725882645604219,0.29056745767593384,0.00971214712322072,0.23680619846539722,0.00971214712322072,0.0,-0.0,True,True,26,10.0,5,0.008,1.0,0.052,0.9999753832817078,0.14442972838878632,0,False
26,2.6818501700181514,2.6400000000000006,0.09999999999999432,166,1.380527769433957,0.5873510819118498,-1.1586085264682333,1.703945135089971,0.28687408566474915,0.00970087513668271,0.24650707360207993,0.00970087513668271,0.0,-0.0,True,True,27,10.0,5,0.008,1.0,0.054,0.9999683499336243,0.10067038983106613,0,False
27,2.781825420912355,2.740000000000009,0.10000000000000853,167,1.3895015042064998,0.5673119390608355,-1.1397731499294443,1.6820152362965646,0.2831819951534271,0.009697509196257984,0.2562045827983379,0.009697509196257984,0.0,-0.0,True,True,28,10.0,5,0.008,1.0,0.056,0.9985199570655823,0.07024723291397095,0,False
