step,wall_time,sim_time,x,y,goal_distance_m,current_fps,obs_interval,frame_consumed,frame_penalty,frame_cost,episode_frame_count,scans_since_last_obs,instant_reward,cumulative_reward,outcome,outcome_str
1,0.08854397293180227,0.07999999999998408,-2.3123381786638975,2.2414716014104434,3.68319948636433,10.0,5,False,0.0,0.0,1,4,-0.0034792507558744886,-0.0034792507558744886,0,UNKNOWN: 0
2,0.3061832969542593,0.28000000000000114,-2.3239636076488344,2.2647104139238814,3.706076778877304,10.0,5,True,0.0,0.0,3,3,-0.006232865864374583,-0.00971211662024907,0,UNKNOWN: 0
3,0.40908336197026074,0.37999999999999545,-2.3275468894681017,2.28054811679855,3.725130155259842,10.0,5,True,0.0,0.0,4,4,-0.005191048686747038,-0.014903165306996109,0,UNKNOWN: 0
4,0.5088079038541764,0.47999999999998977,-2.330134654140503,2.301571226231506,3.7456987951400436,10.0,5,True,0.0,0.0,5,4,-0.005603878750652735,-0.020507044057648843,0,UNKNOWN: 0
5,0.6084999148733914,0.5799999999999841,-2.331307818673883,2.3236486288648037,3.7667598956569863,10.0,5,True,0.0,0.0,6,4,-0.00573804852142221,-0.026245092579071053,0,UNKNOWN: 0
6,0.7084563849493861,0.6800000000000068,-2.330869012536692,2.3455371749485567,3.787089562906131,10.0,5,True,0.0,0.0,7,4,-0.005538771205527359,-0.03178386378459841,0,UNKNOWN: 0
7,0.8089445198420435,0.7800000000000011,-2.328830682855956,2.366780593586227,3.806273223626786,10.0,5,True,0.0,0.0,8,4,-0.005226544355793174,-0.03701040814039158,0,UNKNOWN: 0
8,0.9086477719247341,0.8799999999999955,-2.325454311052962,2.3857473504787947,3.8228802283343577,10.0,5,True,0.0,0.0,9,4,-0.0045245403359086235,-0.0415349484763002,0,UNKNOWN: 0
9,1.0089687979780138,0.9799999999999898,-2.3209652413411104,2.401925798949945,3.836511227209836,10.0,5,True,0.0,0.0,10,4,-0.003713734373948099,-0.0452486828502483,0,UNKNOWN: 0
10,1.108999156858772,1.079999999999984,-2.3152807405942464,2.41670594650528,3.8484446353209925,10.0,5,True,0.0,0.0,11,4,-0.003251229664502287,-0.04849991251475059,0,UNKNOWN: 0
11,1.2090652158949524,1.1800000000000068,-2.3079418849615165,2.4311710771642208,3.859548542877236,10.0,5,True,0.0,0.0,12,4,-0.0030252341412005156,-0.05152514665595111,0,UNKNOWN: 0
12,1.3092486339155585,1.2800000000000011,-2.2984663975099866,2.445664955257486,3.869998550508203,10.0,5,True,0.0,0.0,13,4,-0.0028470806066133066,-0.05437222726256441,0,UNKNOWN: 0
13,1.4088380259927362,1.3799999999999955,-2.2862645147276135,2.4603575021369726,3.879780142839266,10.0,5,True,0.0,0.0,14,4,-0.002664972391507253,-0.05703719965407166,0,UNKNOWN: 0
14,1.50938829081133,1.4799999999999898,-2.2711158618512566,2.475165399987113,3.8887757807392975,10.0,5,True,0.0,0.0,15,4,-0.0024508409097616533,-0.05948804056383331,0,UNKNOWN: 0
15,1.608921883860603,1.579999999999984,-2.2539396592048555,2.4881429080121493,3.895479759615877,10.0,5,True,0.0,0.0,16,4,-0.0018264836659155409,-0.061314524229748854,0,UNKNOWN: 0
16,1.7091022809036076,1.6800000000000068,-2.2348969418763667,2.4983837854058377,3.8991040008368074,10.0,5,True,0.0,0.0,17,4,-0.000987416206589437,-0.06230194043633829,0,UNKNOWN: 0
17,1.809657535981387,1.7800000000000011,-2.214153289227124,2.5055825094192707,3.899424401179187,10.0,5,True,0.0,0.0,18,4,-8.729233827905974e-05,-0.06238923277461735,0,UNKNOWN: 0
18,1.9093442778103054,1.8799999999999955,-2.193563679543083,2.5107299314449527,3.8979622427106473,10.0,5,True,0.0,0.0,19,4,0.00039836172054446206,-0.06199087105407289,0,UNKNOWN: 0
19,2.0092567978426814,1.9799999999999898,-2.1736171365580526,2.5143441643314066,3.895347351076595,10.0,5,True,0.0,0.0,20,4,0.0007124212271045623,-0.061278449826968326,0,UNKNOWN: 0
20,2.1097221428062767,2.079999999999984,-2.1543367871728707,2.516817568507021,3.8919436727432917,10.0,5,True,0.0,0.0,21,4,0.0009273243538293103,-0.06035112547313901,0,UNKNOWN: 0
21,2.2100607689935714,2.180000000000007,-2.135064611282813,2.518177214030979,3.887571712712299,10.0,5,True,0.0,0.0,22,4,0.0011911304811149043,-0.05915999499202411,0,UNKNOWN: 0
22,2.309961959021166,2.280000000000001,-2.1163896877987898,2.5185102129147556,3.882479294452861,10.0,5,True,0.0,0.0,23,4,0.0013874176727148157,-0.05777257731930929,0,UNKNOWN: 0
23,2.4099663679953665,2.3799999999999955,-2.0981367904848005,2.5181330289846913,3.876908222864255,10.0,5,True,0.0,0.0,24,4,0.001517825674210324,-0.056254751645098966,0,UNKNOWN: 0
24,2.5099996868520975,2.4799999999999898,-2.078707971550584,2.517920992375616,3.871246164659083,10.0,5,True,0.0,0.0,25,4,0.0015426147691691924,-0.054712136875929775,0,UNKNOWN: 0
25,2.609604710014537,2.579999999999984,-2.0594081571409943,2.517922260432808,3.865914065701533,10.0,5,True,0.0,0.0,26,4,0.0014527181290850692,-0.05325941874684471,0,UNKNOWN: 0
26,2.710005875909701,2.680000000000007,-2.040047905825174,2.517714286459399,3.8604530985399768,10.0,5,True,0.0,0.0,27,4,0.00148782797564145,-0.05177159077120326,0,UNKNOWN: 0
27,2.80967795685865,2.780000000000001,-2.0221747030200037,2.5174259311082627,3.855398207834453,10.0,5,True,0.0,0.0,28,4,0.0013771933767396816,-0.05039439739446358,0,UNKNOWN: 0
28,2.9103194610215724,2.8799999999999955,-2.0049405963657154,2.517097846572234,3.850548302541347,10.0,5,True,0.0,0.0,29,4,0.001321345571365414,-0.049073051823098165,0,UNKNOWN: 0
29,3.009728604927659,2.9799999999999898,-1.9874241966353268,2.5167579532892637,3.8456852980077234,10.0,5,True,0.0,0.0,30,4,0.0013249144293946242,-0.04774813739370354,0,UNKNOWN: 0
30,3.110372429015115,3.079999999999984,-1.9700094199587186,2.5164397372997924,3.8409430189069744,10.0,5,True,0.0,0.0,31,4,0.0012920230621535514,-0.04645611433154999,0,UNKNOWN: 0
31,3.2098402329720557,3.180000000000007,-1.9526693583670323,2.5160548989775267,3.836227646354315,10.0,5,True,0.0,0.0,32,4,0.001284692434850495,-0.045171421896699496,0,UNKNOWN: 0
32,3.3102464978583157,3.280000000000001,-1.9354479915387033,2.5156119314018146,3.8315579441267023,10.0,5,True,0.0,0.0,33,4,0.0012722496595598113,-0.04389917223713968,0,UNKNOWN: 0
33,3.410041398834437,3.3799999999999955,-1.9185920786532396,2.515076522359198,3.8269576324704775,10.0,5,True,0.0,0.0,34,4,0.0012533443575679605,-0.042645827879571725,0,UNKNOWN: 0
34,3.509897999931127,3.4799999999999898,-1.9014184360388033,2.514562230804682,3.82237183618888,10.0,5,True,0.0,0.0,35,4,0.0012493896770492366,-0.041396438202522486,0,UNKNOWN: 0
35,3.6099336778279394,3.579999999999984,-1.8838102875153204,2.5139696947011827,3.8176816000166727,10.0,5,True,0.0,0.0,36,4,0.0012778440856594517,-0.040118594116863034,0,UNKNOWN: 0
36,3.7113379158545285,3.680000000000007,-1.866152826854783,2.513237442248125,3.8129191410048566,10.0,5,True,0.0,0.0,37,4,0.0012975210326308135,-0.03882107308423222,0,UNKNOWN: 0
37,3.8114298738073558,3.780000000000001,-1.8489682885101428,2.512987088501147,3.808808103683625,10.0,5,True,0.0,0.0,38,4,0.0011200426874002534,-0.03770103039683197,0,UNKNOWN: 0
38,3.911928689805791,3.8799999999999955,-1.831532031594341,2.513505692989031,3.805465673150578,10.0,5,True,0.0,0.0,39,4,0.0009106375311527674,-0.0367903928656792,0,UNKNOWN: 0
39,4.01312854886055,3.9799999999999898,-1.8113015639353967,2.5138475735685613,3.8014303990042295,10.0,5,True,0.0,0.0,40,4,0.0010994011842049866,-0.035690991681474216,0,UNKNOWN: 0
40,4.113837691955268,4.079999999999984,-1.791114897729001,2.5136063762426386,3.7969377135403626,10.0,5,True,0.0,0.0,41,4,0.001224021848355856,-0.03446696983311836,0,UNKNOWN: 0
41,4.214229037985206,4.180000000000007,-1.77094588295588,2.513204871549268,3.7923933391814812,10.0,5,True,0.0,0.0,42,4,0.0012381043692275774,-0.03322886546389078,0,UNKNOWN: 0
42,4.3142903367988765,4.280000000000001,-1.749905662908929,2.512812398699903,3.787787362988817,10.0,5,True,0.0,0.0,43,4,0.0012548876475263777,-0.03197397781636441,0,UNKNOWN: 0
43,4.414378745015711,4.3799999999999955,-1.728318090327196,2.512746582772478,3.783508159742027,10.0,5,True,0.0,0.0,44,4,0.001165859108044023,-0.030808118708320384,0,UNKNOWN: 0
44,4.51453565293923,4.47999999999999,-1.7065978984223322,2.51296257374162,3.779599275564993,10.0,5,True,0.0,0.0,45,4,0.0010649665270053758,-0.029743152181315007,0,UNKNOWN: 0
45,4.614460972836241,4.579999999999984,-1.684556633014948,2.512317491116222,3.7749065611580934,10.0,5,True,0.0,0.0,46,4,0.0012785192750163423,-0.028464632906298665,0,UNKNOWN: 0
46,4.71484933886677,4.680000000000007,-1.6626081806211326,2.5107510015625336,3.7694459480300644,10.0,5,True,0.0,0.0,47,4,0.0014877315200190716,-0.026976901386279593,0,UNKNOWN: 0
47,4.8145831800065935,4.780000000000001,-1.640765348895499,2.5096709770025547,3.7646034774410353,10.0,5,True,0.0,0.0,48,4,0.0013193200032949838,-0.025657581382984608,0,UNKNOWN: 0
48,4.914620409021154,4.8799999999999955,-1.618844957604064,2.5097356873541368,3.760998354030589,10.0,5,True,0.0,0.0,49,4,0.0009822076029794313,-0.024675373780005175,0,UNKNOWN: 0
49,5.01453482802026,4.97999999999999,-1.5967632804483505,2.509255888150838,3.7569542290460536,10.0,5,True,0.0,0.0,50,4,0.0011018125747651725,-0.023573561205240002,0,UNKNOWN: 0
50,5.1149268839508295,5.079999999999984,-1.5747145966869691,2.507909268163078,3.7521843353301607,10.0,5,True,0.0,0.0,51,4,0.0012995466007012437,-0.022274014604538758,0,UNKNOWN: 0
51,5.21467127581127,5.180000000000007,-1.5528002615128964,2.5056311298855025,3.7466373380214235,10.0,5,True,0.0,0.0,52,4,0.0015112666918866578,-0.0207627479126521,0,UNKNOWN: 0
52,5.314893143018708,5.280000000000001,-1.5309512517938633,2.504139971449278,3.7419998528448124,10.0,5,True,0.0,0.0,53,4,0.0012634721979207161,-0.019499275714731385,0,UNKNOWN: 0
53,5.414958521956578,5.3799999999999955,-1.5089648636756152,2.502617199165669,3.737434944541337,10.0,5,True,0.0,0.0,54,4,0.0012436987953270968,-0.018255576919404288,0,UNKNOWN: 0
54,5.514975619968027,5.47999999999999,-1.4870261116056955,2.5005738424945663,3.732484493726423,10.0,5,True,0.0,0.0,55,4,0.0013487389681293457,-0.01690683795127494,0,UNKNOWN: 0
55,5.614936139900237,5.579999999999984,-1.465133144819957,2.4983974686452113,3.727531564676817,10.0,5,True,0.0,0.0,56,4,0.0013494141574862365,-0.015557423793788706,0,UNKNOWN: 0
56,5.714943618979305,5.680000000000007,-1.4432387006927478,2.4964113228483917,3.7228908931984583,10.0,5,True,0.0,0.0,57,4,0.0012643402985223636,-0.014293083495266342,0,UNKNOWN: 0
57,5.8152364059351385,5.780000000000001,-1.42134227817885,2.494673791898471,3.7186212488569104,10.0,5,True,0.0,0.0,58,4,0.0011632548062390806,-0.013129828689027262,0,UNKNOWN: 0
58,5.915154975838959,5.8799999999999955,-1.3994372301784865,2.4934577861664096,3.71499417536776,10.0,5,True,0.0,0.0,59,4,0.0009881878515685851,-0.012141640837458677,0,UNKNOWN: 0
59,6.015309722861275,5.97999999999999,-1.3774551460262385,2.4929189539368624,3.7121587208460807,10.0,5,True,0.0,0.0,60,4,0.000772513079864689,-0.011369127757593989,0,UNKNOWN: 0
60,6.115312871988863,6.079999999999984,-1.3554315806649782,2.4917467149526376,3.708817352413616,10.0,5,True,0.0,0.0,61,4,0.0009103481642855113,-0.010458779593308478,0,UNKNOWN: 0
61,6.215515299933031,6.180000000000007,-1.3334462435122383,2.4900089425551455,3.705044063077611,10.0,5,True,0.0,0.0,62,4,0.0010280240236232008,-0.009430755569685277,0,UNKNOWN: 0
62,6.315350879915059,6.280000000000001,-1.311518893919016,2.4877412504856378,3.7008756723249263,10.0,5,True,0.0,0.0,63,4,0.0011356684982302711,-0.008295087071455006,0,UNKNOWN: 0
63,6.415222940966487,6.3799999999999955,-1.2896526963620167,2.4849966255894924,3.696362806949992,10.0,5,True,0.0,0.0,64,4,0.001229519818833239,-0.007065567252621767,0,UNKNOWN: 0
64,6.515562526881695,6.47999999999999,-1.2678541338368101,2.4817689682603596,3.691499448382841,10.0,5,True,0.0,0.0,65,4,0.0013250108850170026,-0.005740556367604765,0,UNKNOWN: 0
65,6.615377496927977,6.579999999999984,-1.2461258652811393,2.478066163784629,3.6862919692269682,10.0,5,True,0.0,0.0,66,4,0.0014187657499974712,-0.004321790617607294,0,UNKNOWN: 0
