episode,policy_type,fixed_fps,mean_fps,success,outcome,outcome_str,n_steps,episode_return,fresh_observations,native_scans,final_goal_distance_m,final_obs_interval,fresh_observation_ratio,native_scans_per_fresh_observation
1,adaptive,,10.0,True,1,SUCCESS,383,2.4013540786653644,479,2395,0.1972918434503798,5,0.2,5.0
2,adaptive,,10.0,True,1,SUCCESS,56,2.367605707404671,69,341,0.19923424839896198,5,0.20234604105571846,4.942028985507246
3,adaptive,,10.0,True,1,SUCCESS,117,2.407036162650755,135,672,0.19674815858763017,5,0.20089285714285715,4.977777777777778
4,adaptive,,10.0,True,1,SUCCESS,130,2.412443200733806,131,655,0.19800050793694046,5,0.2,5.0
5,adaptive,,10.0,True,1,SUCCESS,254,2.4561208962733674,258,1288,0.19762744510734628,5,0.20031055900621117,4.992248062015504
6,adaptive,,10.0,True,1,SUCCESS,177,2.4036908832200297,177,885,0.19663889499020812,5,0.2,5.0
7,adaptive,,10.0,True,1,SUCCESS,388,2.455894520404316,390,1947,0.19851916705471553,5,0.20030816640986132,4.992307692307692
8,adaptive,,10.0,True,1,SUCCESS,248,2.4458180193956824,249,1245,0.19887112063523302,5,0.2,5.0
9,adaptive,,10.0,True,1,SUCCESS,226,2.4103986054037208,227,1131,0.1996146574242516,5,0.20070733863837312,4.9823788546255505
10,adaptive,,10.0,True,1,SUCCESS,228,2.3420237096466727,228,1139,0.19935849204001602,5,0.20017559262510976,4.995614035087719
1,adaptive,,10.0,False,4,TIMEOUT,413,-0.8940704694882845,510,2547,0.7881409420969394,5,0.20023557126030625,4.9941176470588236
2,adaptive,,10.0,True,1,SUCCESS,187,2.3627366121132463,219,1092,0.19671990228671726,5,0.20054945054945056,4.986301369863014
