step,wall_time,sim_time,x,y,goal_distance_m,current_fps,obs_interval,frame_consumed,frame_penalty,frame_cost,episode_frame_count,scans_since_last_obs,instant_reward,cumulative_reward,outcome,outcome_str
1,0.03766388166695833,0.040000000000000036,0.026506797343946693,0.0005074806409834838,1.6188793752384212,10.0,5,False,0.0,0.0025,1,2,0.00020771281407679922,0.00020771281407679922,0,UNKNOWN: 0
2,0.13705045683309436,0.14,0.03449833323742687,0.000961432809778355,1.6123189569572396,0.2,250,True,0.0025,0.0025,2,2,0.0015516024223688053,0.0017593152364456044,0,UNKNOWN: 0
3,0.23751347279176116,0.24,0.05183109420299464,0.0019437657123854478,1.5981370819129848,0.2,250,False,0.0,0.0025,2,7,0.008758484111882825,0.01051779934832843,0,UNKNOWN: 0
4,0.33704194612801075,0.3400000000000001,0.07341945540612518,0.0037878384217006696,1.580170411443082,0.2,250,False,0.0,0.0025,2,12,0.011095909205449271,0.0216137085537777,0,UNKNOWN: 0
5,0.43751647183671594,0.44000000000000006,0.09512593972625127,0.006761107586515731,1.5614880621973548,0.2,250,False,0.0,0.0025,2,17,0.011537900209298063,0.03315160876307576,0,UNKNOWN: 0
6,0.5370438047684729,0.54,0.1166541050081214,0.01083911436861996,1.5423185628177996,0.2,250,False,0.0,0.0025,2,22,0.011838755822108162,0.04499036458518392,0,UNKNOWN: 0
7,0.6383150541223586,0.64,0.1379460653485607,0.016013549056866038,1.5226944843889452,0.2,250,False,0.0,0.0025,2,27,0.012119496088713046,0.057109860673896964,0,UNKNOWN: 0
8,0.7392332646995783,0.74,0.15894422953167142,0.022280261711163468,1.5026457427438649,0.2,250,False,0.0,0.0025,2,32,0.012381760847118353,0.06949162152101532,0,UNKNOWN: 0
9,0.8393652630038559,0.8400000000000001,0.17959038822115997,0.029630105484950715,1.4822062365928155,0.2,250,False,0.0,0.0025,2,37,0.012623090340315692,0.08211471186133101,0,UNKNOWN: 0
10,1.0393571821041405,1.04,0.21956804449539577,0.04750916539226052,1.4403374350562328,0.2,250,False,0.0,0.0025,2,47,0.025857457627952378,0.1079721694892834,0,UNKNOWN: 0
