episode,policy_type,fixed_fps,mean_fps,success,outcome,outcome_str,n_steps,episode_return,fresh_observations,native_scans,final_goal_distance_m,final_obs_interval,fresh_observation_ratio,native_scans_per_fresh_observation
1,adaptive,,0.2,False,2,COLL_WALL,43,-1.2048397998294442,3,256,1.3996796052004346,250,0.01171875,85.33333333333333
2,adaptive,,0.2,False,2,COLL_WALL,46,-1.7494889503436628,3,256,1.782698831179875,250,0.01171875,85.33333333333333
3,adaptive,,0.2,False,2,COLL_WALL,45,-0.9373536485575711,3,256,0.7000738187618892,250,0.01171875,85.33333333333333
4,adaptive,,0.20000000000000004,True,1,SUCCESS,101,2.4035106788805503,4,529,0.19688833373742134,250,0.007561436672967864,132.25
5,adaptive,,0.19999999999999998,False,3,COLL_OBST,264,-1.4674754175673816,9,1756,3.9773723169605204,250,0.005125284738041002,195.11111111111111
6,adaptive,,0.20000000000000004,True,1,SUCCESS,143,2.425389350687512,4,754,0.19891041835678458,250,0.005305039787798408,188.5
7,adaptive,,0.2,False,5,TUMBLE,174,-1.6183436154189605,6,1250,5.054146173015463,250,0.0048,208.33333333333334
8,adaptive,,0.2,True,1,SUCCESS,74,2.3684884306633416,3,411,0.1968240323979907,250,0.0072992700729927005,137.0
9,adaptive,,0.2,False,2,COLL_WALL,125,-1.3352734565859896,5,756,1.6190344419234624,250,0.006613756613756613,151.2
10,adaptive,,0.2,True,1,SUCCESS,38,2.2991164703978244,2,221,0.1987488020514847,250,0.00904977375565611,110.5
11,adaptive,,0.19999999999999998,True,1,SUCCESS,244,2.3470325208320735,8,1542,0.19712476175249927,250,0.005188067444876783,192.75
12,adaptive,,0.2,False,3,COLL_OBST,42,-1.1512109579797247,3,256,1.12627030994133,250,0.01171875,85.33333333333333
13,adaptive,,0.2,False,2,COLL_WALL,43,-1.692999606071057,3,256,2.6798872332303483,250,0.01171875,85.33333333333333
14,adaptive,,0.2,True,1,SUCCESS,83,2.3981857483887614,3,456,0.19656034380129594,250,0.006578947368421052,152.0
15,adaptive,,0.2,False,2,COLL_WALL,52,-1.591439044323859,3,256,2.6242342248092654,250,0.01171875,85.33333333333333
16,adaptive,,0.2,True,1,SUCCESS,146,2.419464632615286,5,767,0.19837823958367842,250,0.00651890482398957,153.4
17,adaptive,,0.19999999999999998,False,5,TUMBLE,243,-1.5963436312548125,8,1671,2.0310845056655884,250,0.0047875523638539795,208.875
18,adaptive,,0.2,False,2,COLL_WALL,45,-1.199819493538854,3,256,1.3902502762292257,250,0.01171875,85.33333333333333
19,adaptive,,0.2,False,2,COLL_WALL,45,-1.733981317131393,3,256,1.7604603921672595,250,0.01171875,85.33333333333333
20,adaptive,,0.2,False,2,COLL_WALL,44,-0.8483494577375029,3,256,0.5552386141567307,250,0.01171875,85.33333333333333
21,adaptive,,0.20000000000000004,True,1,SUCCESS,100,2.4028143873545478,4,537,0.19852133551007142,250,0.0074487895716946,134.25
22,adaptive,,0.2,False,3,COLL_OBST,113,-1.381263978469481,5,756,3.6607034879604643,250,0.006613756613756613,151.2
23,adaptive,,0.19999999999999998,True,1,SUCCESS,217,2.418473078503175,7,1329,0.19905088115881683,250,0.005267118133935289,189.85714285714286
24,adaptive,,0.19999999999999998,False,4,TIMEOUT,421,-1.5411724922358636,12,2506,4.667268247111511,250,0.004788507581803671,208.83333333333334
