ppo_step,t_wall_s,t_sim_s,ppo_step_sim_dt,inner_ticks,x,y,yaw,goal_distance_m,goal_distance_norm,ppo_reward,ppo_reward_cumulative,navigation_reward,terminal_reward,frame_cost_reward,fresh_observation,frame_consumed,episode_frame_count,current_fps,scan_divisor_k,obs_age_ratio,fps_ratio,frame_count_ratio,action_linear,action_angular,outcome,done
1,0.09847841924056411,0.10000000000000009,0.10000000000000009,88,0.0373384718474333,-0.007079944128450964,-0.3736532278407978,2.9932667367264805,0.5039426684379578,-0.002989431602584379,-0.002989431602584379,-0.0004894316025843791,0.0,-0.0025,True,True,2,1.0,50,0.0,0.1,0.004,0.9444448947906494,-0.9827343225479126,0,False
2,0.1984424372203648,0.20000000000000007,0.09999999999999998,161,0.04639563561190138,-0.010861063415491114,-0.43019803041944454,2.9966757255626963,0.5045166015625,-0.0011394431579509572,-0.004128874760535336,-0.0011394431579509572,0.0,-0.0,False,False,2,1.0,50,0.02,0.1,0.004,0.9500868320465088,-0.9700436592102051,0,False
3,0.2983094151131809,0.30000000000000004,0.09999999999999998,160,0.05978491788755619,-0.017904321171442274,-0.5449156275229163,3.000709229541407,0.505195677280426,-0.0013481852631149528,-0.005477060023650289,-0.0013481852631149528,0.0,-0.0,False,False,2,1.0,50,0.04,0.1,0.004,0.96877121925354,-0.9265429973602295,0,False
4,0.39828778337687254,0.4,0.09999999999999998,160,0.07639147466057472,-0.02994807760750001,-0.7142637068395926,3.0034193561943545,0.5056519508361816,-0.0009058508021720625,-0.006382910825822352,-0.0009058508021720625,0.0,-0.0,False,False,2,1.0,50,0.06,0.1,0.004,0.9815050363540649,-0.8773903250694275,0,False
5,0.5987003142945468,0.6000000000000001,0.19999999999999996,319,0.10405155740382696,-0.06388684565272902,-1.0572125991935424,2.998335080706049,0.5047959685325623,0.001699402138470572,-0.00468350868735178,0.001699402138470572,0.0,-0.0,False,False,2,1.0,50,0.1,0.1,0.004,0.9909817576408386,-0.8147871494293213,0,False
6,0.6983930240385234,0.7,0.10000000000000009,160,0.11332184001470423,-0.08393556334877506,-1.2187480730416176,2.990628478879614,0.5034984946250916,0.0025759059780117665,-0.0021076027093400135,0.0025759059780117665,0.0,-0.0,False,False,2,1.0,50,0.12,0.1,0.004,0.9926157593727112,-0.7730538249015808,0,False
7,0.8984857783652842,0.8999999999999999,0.19999999999999996,316,0.1221033902262007,-0.12709363448277858,-1.5218101600101723,2.9665237521268266,0.4994402527809143,0.00805692458741788,0.005949321878077866,0.00805692458741788,0.0,-0.0,False,False,2,1.0,50,0.16,0.1,0.004,0.9908828139305115,-0.7691717743873596,0,False
8,0.9985326053574681,1.0,0.10000000000000009,161,0.12150115340220671,-0.14915634364584548,-1.6749132129510003,2.9507163321410945,0.4967789351940155,0.005283577451545241,0.011232899329623108,0.005283577451545241,0.0,-0.0,False,False,2,1.0,50,0.18,0.1,0.004,0.9906986355781555,-0.7312086224555969,0,False
9,1.0986651913262904,1.1,0.10000000000000009,160,0.11763548151074871,-0.17085578933405127,-1.8181993264465863,2.932883663361347,0.4937766492366791,0.003460510111744503,0.01469340944136761,0.005960510111744503,0.0,-0.0025,True,True,3,1.0,50,0.0,0.1,0.006,0.9871222376823425,-0.6195803880691528,0,False
10,1.2990760020911694,1.3,0.19999999999999973,322,0.10269238982093806,-0.21132120223939485,-1.9755545901040674,2.894159476124326,0.48725709319114685,0.012943430534496892,0.027636839975864504,0.012943430534496892,0.0,-0.0,False,False,3,1.0,50,0.04,0.1,0.006,0.9996823668479919,-0.1384790539741516,0,False
