ppo_step,t_wall_s,t_sim_s,ppo_step_sim_dt,inner_ticks,x,y,yaw,goal_distance_m,goal_distance_norm,ppo_reward,ppo_reward_cumulative,navigation_reward,terminal_reward,frame_cost_reward,fresh_observation,frame_consumed,episode_frame_count,current_fps,scan_divisor_k,obs_age_ratio,fps_ratio,frame_count_ratio,action_linear,action_angular,outcome,done
1,0.05413659196346998,0.040000000000000036,0.10000000000000003,41,0.03244680391912651,0.00521003475978412,0.36493681528565514,1.0402076801847457,0.17512807250022888,8.50872149013464e-08,8.50872149013464e-08,8.50872149013464e-08,0.0,-0.0,False,False,1,10.0,5,0.008,1.0,0.002,0.3951151371002197,-0.9999735951423645,0,False
2,0.1536753091495484,0.14000000000000007,0.10000000000000003,133,0.03334296231095949,0.005496405622772858,0.2708703784659514,1.0402543241019928,0.17513592541217804,-4.484096221053066e-05,-4.475587499562931e-05,-4.484096221053066e-05,0.0,-0.0,True,True,2,0.2,250,0.008,0.02,0.004,0.44744592905044556,-0.9999218583106995,0,False
3,0.2534332340583205,0.24000000000000005,0.09999999999999998,168,0.03988366406128682,0.006736044416007102,0.1250120005480985,1.0397970898012376,0.17505894601345062,0.00043956055176325116,0.0003948046767676219,0.00043956055176325116,0.0,-0.0,False,False,2,0.2,250,0.028,0.02,0.004,0.6631941199302673,-0.9964742660522461,0,False
4,0.3535294949542731,0.34,0.09999999999999998,166,0.053871237054254416,0.007224610796071425,-0.05382884832916331,1.0368610012493686,0.17456462979316711,0.0028225981772446998,0.0032174028540123216,0.0028225981772446998,0.0,-0.0,False,False,2,0.2,250,0.048,0.02,0.004,0.767661988735199,-0.9086998105049133,0,False
5,0.45387202501296997,0.44,0.09999999999999998,172,0.07106600065881087,0.004713833501757206,-0.23087724180567243,1.0304662706590533,0.17348802089691162,0.006147551270790288,0.00936495412480261,0.006147551270790288,0.0,-0.0,False,False,2,0.2,250,0.068,0.02,0.004,0.8030592203140259,-0.7991476058959961,0,False
6,0.5538555770181119,0.54,0.10000000000000009,173,0.08824748329026467,-0.0007814160889706464,-0.38775435003605596,1.0214092964503836,0.17196319997310638,0.008706889605379972,0.01807184373018258,0.008706889605379972,0.0,-0.0,False,False,2,0.2,250,0.088,0.02,0.004,0.8268423676490784,-0.6945855021476746,0,False
7,0.7538608519826084,0.74,0.19999999999999996,345,0.12058255562334691,-0.01919558095913333,-0.6335169657657651,0.9970796698992576,0.16786709427833557,0.023389199045968215,0.0414610427761508,0.023389199045968215,0.0,-0.0,False,False,2,0.2,250,0.128,0.02,0.004,0.8481940627098083,-0.4676060676574707,0,False
8,0.8536265869624913,0.8400000000000001,0.10000000000000009,171,0.13525484827706802,-0.031048668522217684,-0.7233215543637508,0.9828569039825774,0.16547256708145142,0.013673004898385847,0.05513404767453665,0.013673004898385847,0.0,-0.0,False,False,2,0.2,250,0.148,0.02,0.004,0.8568313717842102,-0.3991195857524872,0,False
9,0.9545438110362738,0.94,0.10099999999999998,176,0.1490087618178693,-0.04419024236448097,-0.8014825566186367,0.9676624930496968,0.1629144549369812,0.014607092342686747,0.0697411400172234,0.014607092342686747,0.0,-0.0,False,False,2,0.2,250,0.168,0.02,0.004,0.8640375137329102,-0.35920068621635437,0,False
10,1.155634016962722,1.1400000000000001,0.20100000000000007,349,0.17380451396447072,-0.07360756860740836,-0.9351259301703597,0.9349482904669895,0.1574067324399948,0.03144968108035572,0.10119082109757913,0.03144968108035572,0.0,-0.0,False,False,2,0.2,250,0.208,0.02,0.004,0.8783119916915894,-0.2895982563495636,0,False
