step,wall_time,sim_time,x,y,goal_distance_m,current_fps,obs_interval,frame_consumed,frame_penalty,frame_cost,episode_frame_count,scans_since_last_obs,instant_reward,cumulative_reward,outcome,outcome_str
1,0.1682707122527063,0.12000000000000001,2.4941126010426533,2.4988230266451645,2.5435059067197776,0.5,100,True,0.0025,0.0025,2,1,-0.0001459167121791831,-0.0001459167121791831,0,UNKNOWN: 0
2,0.2678538360632956,0.22000000000000003,2.478824995316767,2.495760511706295,2.527914447185815,0.5,100,False,0.0,0.0025,2,6,0.006115478599261861,0.005969561887082678,0,UNKNOWN: 0
3,0.46805384615436196,0.42000000000000004,2.4373886749494647,2.4849527570598595,2.485164544707688,0.5,100,False,0.0,0.0025,2,16,0.01676790509291554,0.02273746697999822,0,UNKNOWN: 0
4,0.5691602979786694,0.52,2.4168603200675522,2.4774087435163534,2.4635610648266284,0.5,100,False,0.0,0.0025,2,21,0.008473588928247497,0.031211055908245716,0,UNKNOWN: 0
5,0.669220888055861,0.62,2.3969065557974325,2.468468837762748,2.4422579823936457,0.5,100,False,0.0,0.0025,2,26,0.008355763258303945,0.03956681916654966,0,UNKNOWN: 0
6,0.7694522072561085,0.7200000000000001,2.3776872978380243,2.458067847896221,2.421409301993198,0.5,100,False,0.0,0.0025,2,31,0.008177531970888099,0.04774435113743776,0,UNKNOWN: 0
7,0.8691594200208783,0.8200000000000001,2.3594013603910122,2.446125404036921,2.40120850294806,0.5,100,False,0.0,0.0025,2,36,0.007923411787038395,0.05566776292447616,0,UNKNOWN: 0
8,1.0692372601479292,1.02,2.32652799534212,2.4174866175572496,2.3636894458386197,0.5,100,False,0.0,0.0025,2,46,0.014716197051178324,0.07038395997565448,0,UNKNOWN: 0
9,1.1696639880537987,1.1199999999999999,2.3123687035130525,2.4008943580332565,2.3468629403440033,0.5,100,False,0.0,0.0025,2,51,0.006599903878693266,0.07698386385434774,0,UNKNOWN: 0
10,1.369770408142358,1.3199999999999998,2.290006910620572,2.3638209002744675,2.3187275418807256,0.5,100,False,0.0,0.0025,2,61,0.01103562029001082,0.08801948414435856,0,UNKNOWN: 0
11,1.5699155679903924,1.52,2.277420809084699,2.322667900226271,2.300165210000818,0.5,100,False,0.0,0.0025,2,71,0.007280751562526841,0.09530023570688541,0,UNKNOWN: 0
12,1.6697130701504648,1.6199999999999999,2.275006862043576,2.300851906259072,2.294813285165729,0.5,100,False,0.0,0.0025,2,76,0.002099199354784651,0.09739943506167006,0,UNKNOWN: 0
13,1.769996047951281,1.72,2.2753491601273748,2.279186327271082,2.292413291882864,0.5,100,False,0.0,0.0025,2,81,0.0009413555881514223,0.09834079064982149,0,UNKNOWN: 0
14,1.9699285291135311,1.92,2.2845258540114877,2.2372254709097823,2.2968096802272537,0.5,100,False,0.0,0.0025,2,91,-0.0017244067994785838,0.09661638385034291,0,UNKNOWN: 0
15,2.0701808780431747,2.02,2.293071935552846,2.2172128699563567,2.3033368193568506,0.5,100,False,0.0,0.0025,2,96,-0.002560156704669313,0.09405622714567359,0,UNKNOWN: 0
16,2.170194128062576,2.12,2.304075060240558,2.19844319766163,2.3126048860562873,0.5,100,True,0.0025,0.0025,3,1,-0.006135237832191052,0.08792098931348254,0,UNKNOWN: 0
17,2.2702546678483486,2.2199999999999998,2.3172480135472884,2.1811385241691665,2.3243170232127612,0.5,100,False,0.0,0.0025,3,6,-0.004593881924653415,0.08332710738882912,0,UNKNOWN: 0
18,2.4703794880770147,2.42,2.3507847838310147,2.156457523576957,2.3559854992636406,0.5,100,False,0.0,0.0025,3,16,-0.012421408472922427,0.07090569891590669,0,UNKNOWN: 0
19,2.5703218788839877,2.52,2.3705854044482733,2.1498685310262853,2.375318031082606,0.5,100,False,0.0,0.0025,3,21,-0.007582849081633294,0.06332284983427339,0,UNKNOWN: 0
20,2.670186529867351,2.62,2.391318136676679,2.1475593275585774,2.3958664910517404,0.5,100,False,0.0,0.0025,3,26,-0.008059775732688835,0.055263074101584556,0,UNKNOWN: 0
21,2.77039478905499,2.7199999999999998,2.41203969660474,2.1496047923182844,2.416674811630054,0.5,100,False,0.0,0.0025,3,31,-0.00816170153320562,0.04710137256837894,0,UNKNOWN: 0
22,2.970602017827332,2.92,2.4506993358159885,2.1654022095534255,2.4562747007973256,0.5,100,False,0.0,0.0025,3,41,-0.015532367204498904,0.031569005363880034,0,UNKNOWN: 0
23,3.070592748001218,3.02,2.4669684710502136,2.17856537903442,2.4734224917181407,0.5,100,False,0.0,0.0025,3,46,-0.006725922494454858,0.024843082869425177,0,UNKNOWN: 0
24,3.170559798832983,3.12,2.480376581143956,2.1946808840619343,2.4880049556987522,0.5,100,False,0.0,0.0025,3,51,-0.005719717657200773,0.019123365212224405,0,UNKNOWN: 0
25,3.2706204489804804,3.2199999999999998,2.4903758696880263,2.213144499376851,2.4994804214420983,0.5,100,False,0.0,0.0025,3,56,-0.004501051682629703,0.014622313529594703,0,UNKNOWN: 0
