step,x,y,wall_time,sim_time
1,0.0007002528595430352,-0.00011707996887187698,0.059347185073420405,0.06
2,0.010138620820027127,-0.0016383857281975001,0.1580906161107123,0.16000000000000003
3,0.046795127461534,-0.01071196633520409,0.35882439697161317,0.36
4,0.0672039598706979,-0.019443012602130962,0.458239221945405,0.4600000000000001
5,0.08644269232083346,-0.030507731035062192,0.5593191510997713,0.56
6,0.10433247916938058,-0.043628652120726925,0.6592207921203226,0.66
7,0.12076283452854765,-0.05851831089481182,0.7598651850130409,0.76
8,0.14921958769870478,-0.0923955928600946,0.9600534720811993,0.9600000000000001
9,0.16144350880948646,-0.11080900278245907,1.0609952530357987,1.06
10,0.1725524817707285,-0.1298848657237821,1.1607257740106434,1.1600000000000001
11,0.18272009251443022,-0.1494418894947098,1.2609378420747817,1.2599999999999998
12,0.20074134222185652,-0.18939113697955093,1.4612435279414058,1.46
13,0.21635927974003294,-0.23029910776815873,1.6613997351378202,1.6600000000000001
14,0.2234830509363819,-0.25109097552285053,1.7613847539760172,1.7599999999999998
15,0.23652073378215868,-0.29306425646291734,1.9614854620303959,1.96
16,0.24247925606022297,-0.3142094539688879,2.060907396953553,2.06
17,0.24783808427819426,-0.33472037624856205,2.161320372018963,2.1599999999999997
18,0.25160871068849683,-0.3540296354414247,2.261670849053189,2.26
19,0.2594088917945308,-0.39073692969005897,2.461544828955084,2.46
20,0.2681399370016589,-0.42892505672919207,2.661596246995032,2.6599999999999997
21,0.2726822022620799,-0.4484158386635005,2.7618672840762883,2.76
22,0.2818277322031561,-0.48794929883667393,2.962255229940638,2.96
23,0.2863501224938449,-0.5079472915405457,3.0615314261522144,3.06
24,0.290792560544499,-0.5280842848889933,3.162021591095254,3.1599999999999997
25,0.2951203969271985,-0.5483461648924263,3.261766092153266,3.26
26,0.30326701189097366,-0.5891972637934184,3.461935200029984,3.46
27,0.31053954154663327,-0.6304206932758212,3.662017498165369,3.6599999999999997
28,0.31380090258317284,-0.6511588380041486,3.7620934271253645,3.76
29,0.3167926521410254,-0.6719760890932526,3.8625004831701517,3.86
30,0.31950019131250523,-0.6928701056195637,3.962141626048833,3.9599999999999995
31,0.32190779722938756,-0.7138384199212726,4.062194575089961,4.0600000000000005
32,0.32391090278403,-0.733902855658576,4.162183965090662,4.16
33,0.3249149172551728,-0.7520950413335767,4.262395543046296,4.260000000000001
34,0.3241334285569297,-0.7637871236421522,4.362804868957028,4.36
35,0.3222254126981903,-0.7730286405678664,4.462870188057423,4.46
36,0.31927640785391326,-0.7822517851264772,4.562518730061129,4.5600000000000005
37,0.3149918375971185,-0.792418653426717,4.662480390165001,4.66
38,0.3106522814220948,-0.8009948255420863,4.741073583019897,4.74
