episode,policy_type,fixed_fps,mean_fps,success,outcome,outcome_str,n_steps,episode_return,fresh_observations,native_scans,final_goal_distance_m,final_obs_interval,fresh_observation_ratio,native_scans_per_fresh_observation
1,fixed,0.5,0.5,False,4,TIMEOUT,428,-1.336832296458646,27,2548,2.8403037189055538,100,0.010596546310832025,94.37037037037037
2,fixed,0.5,0.5,True,1,SUCCESS,87,2.379512336089897,6,456,0.19600625920367626,100,0.013157894736842105,76.0
3,fixed,0.5,0.5,True,1,SUCCESS,116,2.39958281145484,8,614,0.1979775842660354,100,0.013029315960912053,76.75
4,fixed,0.5,0.5,False,5,TUMBLE,147,-1.570444147511555,12,1028,1.5787733951436005,100,0.011673151750972763,85.66666666666667
5,fixed,0.5,0.5,True,1,SUCCESS,38,2.3091288649643333,4,238,0.1992900750608283,100,0.01680672268907563,59.5
6,fixed,0.5,0.5,True,1,SUCCESS,146,2.4267722730417103,9,791,0.19754050774925166,100,0.011378002528445006,87.88888888888889
7,fixed,0.5,0.5,False,4,TIMEOUT,412,-0.6013526886990659,27,2516,0.403823253901233,100,0.010731319554848967,93.18518518518519
8,fixed,0.5,0.5,False,3,COLL_OBST,94,-1.2991661467711153,7,506,1.7831900526992694,100,0.01383399209486166,72.28571428571429
9,fixed,0.5,0.5,False,3,COLL_OBST,177,-1.1188074564812265,12,1006,1.762475728022505,100,0.011928429423459244,83.83333333333333
10,fixed,0.5,0.5,False,2,COLL_WALL,277,-1.1659491282323096,18,1606,1.5052220447234206,100,0.0112079701120797,89.22222222222223
1,fixed,0.5,0.5,False,3,COLL_OBST,266,-1.1303506379458093,19,1706,1.4923559352840878,100,0.011137162954279016,89.78947368421052
1,fixed,0.5,0.5,False,4,TIMEOUT,403,-0.9560306961907105,27,2547,0.9969357552703323,100,0.01060070671378092,94.33333333333333
2,fixed,0.5,0.5,False,2,COLL_WALL,33,-1.6095247353155664,4,206,2.455389616978597,100,0.019417475728155338,51.5
3,fixed,0.5,0.5,False,2,COLL_WALL,36,-1.290047437244592,4,206,1.5895999174310544,100,0.019417475728155338,51.5
