ppo_step,t_wall_s,t_sim_s,ppo_step_sim_dt,inner_ticks,x,y,yaw,goal_distance_m,goal_distance_norm,ppo_reward,ppo_reward_cumulative,navigation_reward,terminal_reward,frame_cost_reward,fresh_observation,frame_consumed,episode_frame_count,current_fps,scan_divisor_k,obs_age_ratio,fps_ratio,frame_count_ratio,action_linear,action_angular,outcome,done
1,0.0978656536899507,0.10000000000000003,0.10000000000000003,99,0.018854327541822175,-0.0001317613788087444,-0.0192786390203848,2.8152202664660164,0.4739669859409332,-0.0014359719553864866,-0.0014359719553864866,0.0010640280446135135,0.0,-0.0025,True,True,2,10.0,5,0.0,1.0,0.004,0.9984432458877563,0.22691600024700165,0,False
2,0.19770915294066072,0.2,0.09999999999999998,167,0.033222251969360614,-0.0004459420408844573,-0.02370481984658781,2.8053517589039543,0.4723055362701416,0.0010016823765738652,-0.00043428957881262134,0.0035016823765738653,0.0,-0.0025,True,True,3,10.0,5,0.0,1.0,0.006,0.9986128211021423,0.22320832312107086,0,False
3,0.2982507566921413,0.3,0.09999999999999998,166,0.054066930349293996,-0.0007370473137894976,0.0076175765316647435,2.7909863174756953,0.46988698840141296,0.002597347574056804,0.0021630579952441826,0.005097347574056804,0.0,-0.0025,True,True,4,10.0,5,0.0,1.0,0.008,0.9987590312957764,0.2196623533964157,0,False
4,0.3982861749827862,0.4000000000000001,0.10000000000000009,165,0.07587554732715493,-5.698405248842489e-05,0.05703331759843197,2.7753346722420593,0.46725189685821533,0.0030537364626142803,0.005216794457858463,0.00555373646261428,0.0,-0.0025,True,True,5,10.0,5,0.0,1.0,0.01,0.9952807426452637,0.2613638639450073,0,False
5,0.498098183888942,0.5,0.09999999999999998,166,0.09769389329037936,0.0017378255317849127,0.10440823863186006,2.7589526558412083,0.46449384093284607,0.0033128970123236135,0.008529691470182076,0.0058128970123236135,0.0,-0.0025,True,True,6,10.0,5,0.0,1.0,0.012,0.9999513030052185,0.23482704162597656,0,False
6,0.5985812176950276,0.6000000000000001,0.09999999999999998,167,0.11945177708742079,0.00449552384723199,0.14373136362977415,2.7419882542876337,0.4616377353668213,0.0035195470871039465,0.012049238557286023,0.0060195470871039465,0.0,-0.0025,True,True,7,10.0,5,0.0,1.0,0.014,0.9999887347221375,0.18589769303798676,0,False
7,0.698569084983319,0.7,0.09999999999999998,166,0.14109680675859437,0.008054759134052753,0.1827632291231917,2.724585559227025,0.4587078392505646,0.003675068541558565,0.01572430709884459,0.006175068541558565,0.0,-0.0025,True,True,8,10.0,5,0.0,1.0,0.016,0.9999799132347107,0.19100448489189148,0,False
8,0.898806078825146,0.9000000000000001,0.19999999999999996,332,0.1834955133995909,0.017639116128532972,0.2627156706321836,2.688762322714269,0.4526766836643219,0.010211303627186126,0.025935610726030713,0.012711303627186126,0.0,-0.0025,True,True,10,10.0,5,0.0,1.0,0.02,0.9815812706947327,0.19579094648361206,0,False
9,0.998529639095068,1.0,0.10000000000000009,164,0.2045021739825693,0.02369367543900074,0.2972115358434522,2.670130954296501,0.4495399296283722,0.004111043668929552,0.030046654394960265,0.006611043668929552,0.0,-0.0025,True,True,11,10.0,5,0.0,1.0,0.022,0.9998146295547485,0.16891083121299744,0,False
10,1.0986594250425696,1.1,0.10000000000000009,165,0.225362358008434,0.0304465690894355,0.32833742448977526,2.6511280276916303,0.4463406205177307,0.004242885160407894,0.03428953955536816,0.006742885160407894,0.0,-0.0025,True,True,12,10.0,5,0.0,1.0,0.024,0.9990890026092529,0.1504339575767517,0,False
11,1.298747079912573,1.3,0.19999999999999973,332,0.2653236439410821,0.045526194379542737,0.39541307213176274,2.6132489184847314,0.43996334075927734,0.010940797234632475,0.04523033679000064,0.013440797234632476,0.0,-0.0025,True,True,14,10.0,5,0.0,1.0,0.028,0.964147686958313,0.16847865283489227,0,False
12,1.3989308960735798,1.4000000000000001,0.10000000000000009,163,0.28477365303715985,0.05403485848989156,0.4305296571330019,2.5939894945891933,0.4367208480834961,0.0043338991295132565,0.049564235919513894,0.006833899129513257,0.0,-0.0025,True,True,15,10.0,5,0.0,1.0,0.03,0.9690244793891907,0.17705416679382324,0,False
13,1.4978024219162762,1.5000000000000002,0.10000000000000009,164,0.3045239967670324,0.06339776626117137,0.4450774452049945,2.5739205730330457,0.4333420693874359,0.00462113645230065,0.05418537237181455,0.00712113645230065,0.0,-0.0025,True,True,16,10.0,5,0.0,1.0,0.032,0.999975323677063,0.033805008977651596,0,False
14,1.5988659709692001,1.6,0.10000000000000009,167,0.32434981963302206,0.0729076787758937,0.4479836725711449,2.5537204820549624,0.42994120717048645,0.004667679827805915,0.05885305219962046,0.0071676798278059155,0.0,-0.0025,True,True,17,10.0,5,0.0,1.0,0.034,0.9999410510063171,0.001488081063143909,0,False
15,1.6996804820373654,1.7,0.10099999999999998,161,0.34415327208480734,0.08245574869746147,0.454326256694397,2.533535968552089,0.4265429675579071,0.004662152409392295,0.06351520460901276,0.007162152409392295,0.0,-0.0025,True,True,18,10.0,5,0.0,1.0,0.036,0.9999434351921082,0.04584337770938873,0,False
16,1.8993714689277112,1.9000000000000001,0.19999999999999973,329,0.38353706474671984,0.10203258434029967,0.46625056550351024,2.493036834224989,0.41972458362579346,0.011870471324852364,0.07538567593386512,0.014370471324852365,0.0,-0.0025,True,True,20,10.0,5,0.0,1.0,0.04,0.9999402761459351,0.019145682454109192,0,False
17,1.9996599447913468,2.0,0.10000000000000009,167,0.40314898093748225,0.11198411220586019,0.4733834916134191,2.4727590328876214,0.4163106381893158,0.00469525410830092,0.08008093004216604,0.007195254108300919,0.0,-0.0025,True,True,21,10.0,5,0.0,1.0,0.042,0.9995071887969971,0.08078557252883911,0,False
18,2.1001578979194164,2.0999999999999996,0.10000000000000009,167,0.4226408717879886,0.12212424877419728,0.4901834981011591,2.452443526979576,0.41289034485816956,0.004708632973324618,0.08478956301549066,0.007208632973324618,0.0,-0.0025,True,True,22,10.0,5,0.0,1.0,0.044,0.9908697605133057,0.11109484732151031,0,False
19,2.199478989932686,2.1999999999999997,0.10000000000000009,160,0.44178577477194114,0.1325754399955797,0.5111322913598937,2.4321402352282293,0.40947210788726807,0.004704298974795776,0.08949386199028644,0.007204298974795777,0.0,-0.0025,True,True,23,10.0,5,0.0,1.0,0.046,0.991156816482544,0.11201297491788864,0,False
20,2.4000605307519436,2.4,0.20000000000000018,335,0.48025046305720914,0.1537488495341108,0.4919280325693313,2.3912929089268413,0.4025951027870178,0.011994021688710513,0.10148788367899696,0.014494021688710513,0.0,-0.0025,True,True,25,10.0,5,0.0,1.0,0.05,0.9972831606864929,-0.020144792273640633,0,False
21,2.6000088350847363,2.5999999999999996,0.19999999999999973,335,0.5190973408265538,0.17419982786640878,0.47347025398506687,2.3508762644116468,0.39579060673713684,0.011841201131889684,0.11332908481088665,0.014341201131889685,0.0,-0.0025,True,True,27,10.0,5,0.0,1.0,0.054,0.9983503818511963,-0.0676548182964325,0,False
22,2.699860983993858,2.6999999999999997,0.10000000000000009,169,0.5387204251425178,0.18410177489212115,0.4602775652665774,2.330842038141194,0.39241766929626465,0.0046088253840156895,0.11793791019490234,0.00710882538401569,0.0,-0.0025,True,True,28,10.0,5,0.0,1.0,0.056,0.9984239935874939,-0.07194828987121582,0,False
23,2.9001447060145438,2.9,0.19999999999999973,337,0.5775305117132457,0.20381314047287194,0.4802967425343093,2.2912239162472563,0.38574761152267456,0.011557858126621016,0.12949576832152335,0.014057858126621017,0.0,-0.0025,True,True,30,10.0,5,0.0,1.0,0.06,0.9966298341751099,0.04185418412089348,0,False
24,3.0000033737160265,3.0,0.10000000000000009,169,0.5969076781999829,0.2140593519260932,0.49014900289066565,2.271178537920687,0.38237279653549194,0.004612782513107358,0.1341085508346307,0.007112782513107358,0.0,-0.0025,True,True,31,10.0,5,0.0,1.0,0.062,0.9968464374542236,0.041720759123563766,0,False
25,3.1003034389577806,3.0999999999999996,0.10000000000000009,169,0.6162401087155234,0.22444046226067843,0.4928909334034463,2.251089259436709,0.3789905905723572,0.004628359783181948,0.13873691061781263,0.007128359783181949,0.0,-0.0025,True,True,32,10.0,5,0.0,1.0,0.064,0.9924588799476624,-0.03081578016281128,0,False
26,3.2005353537388146,3.1999999999999997,0.10000000000000009,167,0.6355243641599395,0.2347709559087987,0.4878288877489788,2.2311045978601043,0.37562599778175354,0.00459123814360903,0.14332814876142166,0.007091238143609031,0.0,-0.0025,True,True,33,10.0,5,0.0,1.0,0.066,0.9762634038925171,-0.02431892789900303,0,False
27,3.4002794111147523,3.4,0.20000000000000018,334,0.6736376726905982,0.2547130595089086,0.4715025304700713,2.192091165231122,0.3690577447414398,0.011343293793657665,0.15467144255507934,0.013843293793657665,0.0,-0.0025,True,True,35,10.0,5,0.0,1.0,0.07,0.9940637946128845,0.19025170803070068,0,False
28,3.5999968969263136,3.5999999999999996,0.19999999999999973,340,0.7118941926255516,0.27557085988632396,0.5391121267711809,2.15241091045311,0.36237722635269165,0.0115799049887024,0.16625134754378174,0.0140799049887024,0.0,-0.0025,True,True,37,10.0,5,0.0,1.0,0.074,0.9971868991851807,0.20101097226142883,0,False
29,3.700441470835358,3.6999999999999997,0.10000000000000009,169,0.7303956959193234,0.28720153791896863,0.5830169249364228,2.1320350418286274,0.3589467704296112,0.004730051719677221,0.17098139926345896,0.007230051719677221,0.0,-0.0025,True,True,38,10.0,5,0.0,1.0,0.076,0.9954279661178589,0.262980192899704,0,False
30,3.800465856678784,3.8,0.09999999999999964,170,0.7483063651599365,0.2996533538244202,0.634207840032141,2.1113777165497893,0.3554689288139343,0.004829922120558775,0.17581132138401773,0.007329922120558776,0.0,-0.0025,True,True,39,10.0,5,0.0,1.0,0.078,0.9941336512565613,0.28155648708343506,0,False
31,3.900610723067075,3.8999999999999995,0.10000000000000053,171,0.7655130537553645,0.313001013172477,0.6884115875942338,2.090436279365139,0.3519432544708252,0.004930734695033818,0.18074205607905156,0.007430734695033817,0.0,-0.0025,True,True,40,10.0,5,0.0,1.0,0.08,0.9999869465827942,0.10945472121238708,0,False
32,3.99999012472108,4.0,0.09999999999999964,170,0.7822247489916522,0.3271852793625452,0.7091654651139883,2.069126824328661,0.34835562109947205,0.005061319955054598,0.18580337603410615,0.007561319955054597,0.0,-0.0025,True,True,41,10.0,5,0.0,1.0,0.082,0.9999883770942688,0.10937455296516418,0,False
33,4.100632696878165,4.1,0.09999999999999964,170,0.7985949595501278,0.3417644718235493,0.7469503835889865,2.0477106281836446,0.3447500169277191,0.005099195333502178,0.19090257136760833,0.0075991953335021786,0.0,-0.0025,True,True,42,10.0,5,0.0,1.0,0.084,0.9998573064804077,0.2148151397705078,0,False
34,4.200432606041431,4.2,0.10000000000000053,169,0.814414639333165,0.3569290929626992,0.7866130465385636,2.026152641610868,0.34112054109573364,0.005149507403380131,0.19605207877098846,0.00764950740338013,0.0,-0.0025,True,True,43,10.0,5,0.0,1.0,0.086,0.9998568296432495,0.18596860766410828,0,False
35,4.300635480787605,4.3,0.09999999999999964,170,0.8297731189964855,0.3726451665018686,0.7975321461754414,2.0044238338610767,0.33746230602264404,0.005210120571210975,0.20126219934219944,0.007710120571210974,0.0,-0.0025,True,True,44,10.0,5,0.0,1.0,0.088,0.9999758005142212,0.02466060407459736,0,False
36,4.400631827767938,4.3999999999999995,0.10000000000000053,170,0.8450628494023168,0.3884463529279413,0.8047802233110891,1.9826711288481795,0.3338000476360321,0.005218600133549993,0.20648079947574943,0.007718600133549992,0.0,-0.0025,True,True,45,10.0,5,0.0,1.0,0.09,0.9999913573265076,-0.029980530962347984,0,False
37,4.500846212729812,4.5,0.09999999999999964,169,0.8603434718100594,0.4042917212979535,0.8004115428907485,1.9608931104380667,0.3301335275173187,0.005227582188472066,0.2117083816642215,0.007727582188472066,0.0,-0.0025,True,True,46,10.0,5,0.0,1.0,0.092,0.9999983310699463,-0.10258989036083221,0,False
38,4.600917769130319,4.6,0.09999999999999964,165,0.8757507059133595,0.42003475820213126,0.7871911469536762,1.9391303154696362,0.3264695703983307,0.0052221803932041705,0.21693056205742567,0.007722180393204171,0.0,-0.0025,True,True,47,10.0,5,0.0,1.0,0.094,0.9999974966049194,-0.15274488925933838,0,False
39,4.701036565005779,4.7,0.10000000000000053,167,0.8915306812158048,0.43543925949385565,0.7581646056177486,1.9174344328379014,0.3228168785572052,0.005198437618655032,0.2221289996760807,0.0076984376186550315,0.0,-0.0025,True,True,48,10.0,5,0.0,1.0,0.096,0.9998939037322998,-0.13254909217357635,0,False
40,4.8007099139504135,4.8,0.09999999999999964,164,0.9077391659641966,0.45037488495682865,0.7324893006910861,1.8958828188686194,0.3191884756088257,0.005147246186756533,0.22727624586283723,0.007647246186756534,0.0,-0.0025,True,True,49,10.0,5,0.0,1.0,0.098,0.9998874068260193,-0.11824922263622284,0,False
41,4.901118597947061,4.8999999999999995,0.10000000000000053,169,0.9242162202022565,0.4649690930086641,0.723571479272352,1.874468038857713,0.31558310985565186,0.005098692840919043,0.23237493870375628,0.007598692840919043,0.0,-0.0025,True,True,50,10.0,5,0.0,1.0,0.1,0.9989500641822815,0.11586301028728485,0,False
42,5.000617878045887,5.0,0.09999999999999964,162,0.9406323879659098,0.47954478768423353,0.7391329903117105,1.8531173389152826,0.3119885325431824,0.005075955051535937,0.2374508937552922,0.0075759550515359375,0.0,-0.0025,True,True,51,10.0,5,0.0,1.0,0.102,0.9986886978149414,0.094098761677742,0,False
43,5.101709366776049,5.1,0.09999999999999964,148,0.9567002959878081,0.49445076321220177,0.7571204420806872,1.8317076923905247,0.3083840310573578,0.005096871305305561,0.24254776506059778,0.007596871305305562,0.0,-0.0025,True,True,52,10.0,5,0.0,1.0,0.104,0.9984586834907532,0.06617298722267151,0,False
44,5.201221777126193,5.2,0.10000000000000053,151,0.9725132449957437,0.5096606737521264,0.7708195682298976,1.810204581014509,0.3047637939453125,0.005130035815786971,0.24767780087638475,0.00763003581578697,0.0,-0.0025,True,True,53,10.0,5,0.0,1.0,0.106,0.9994316101074219,0.042117953300476074,0,False
45,5.301570421084762,5.3,0.10099999999999998,161,0.9881805704601848,0.5250574631923974,0.780387109355546,1.7886402218382376,0.30113324522972107,0.005151768620003962,0.2528295694963887,0.007651768620003963,0.0,-0.0025,True,True,54,10.0,5,0.0,1.0,0.108,0.9975340366363525,0.03788259997963905,0,False
46,5.4026186796836555,5.3999999999999995,0.09999999999999964,161,1.0037102805588143,0.5405522365964746,0.788256275818709,1.7670825892989883,0.29750382900238037,0.005149381780234484,0.2579789512766232,0.007649381780234484,0.0,-0.0025,True,True,55,10.0,5,0.0,1.0,0.11,0.9940183162689209,0.07145483046770096,0,False
47,5.503229940775782,5.5,0.10000000000000053,169,1.019032724570652,0.5561217017636318,0.8015231549653684,1.745589036828215,0.293885201215744,0.0051266439908513785,0.26310559526747457,0.007626643990851379,0.0,-0.0025,True,True,56,10.0,5,0.0,1.0,0.112,0.99407958984375,0.06248103454709053,0,False
48,5.602959420066327,5.6,0.09999999999999964,171,1.0341372636476818,0.5718985723968187,0.8127396563468899,1.7240545934850164,0.2902596890926361,0.005141153464186995,0.26824674873166154,0.007641153464186995,0.0,-0.0025,True,True,57,10.0,5,0.0,1.0,0.114,0.988552451133728,0.045926693826913834,0,False
49,5.702691748738289,5.7,0.10000000000000053,174,1.0490118112385085,0.5877692057113452,0.8217922838755978,1.7025787426906176,0.2866440415382385,0.005120362833563253,0.2733671115652248,0.007620362833563253,0.0,-0.0025,True,True,58,10.0,5,0.0,1.0,0.116,0.9729534387588501,0.07842450588941574,0,False
50,5.8026807848364115,5.8,0.09999999999999964,175,1.0634681642689114,0.6035833361467712,0.8417064356376076,1.6813896590534871,0.283076673746109,0.005018608085495039,0.27838571965071984,0.0075186080854950385,0.0,-0.0025,True,True,59,10.0,5,0.0,1.0,0.118,0.9774105548858643,0.003910636994987726,0,False
51,5.903184877708554,5.8999999999999995,0.09999999999999964,175,1.0777684688309959,0.6196400378635915,0.8420045535235324,1.6600917101066528,0.27949097752571106,0.005057237202817283,0.28344295685353715,0.0075572372028172834,0.0,-0.0025,True,True,60,10.0,5,0.0,1.0,0.12,0.9826661348342896,-0.07677158713340759,0,False
52,6.003105844836682,6.0,0.10000000000000053,168,1.09222133545341,0.635726320218988,0.8300975894806252,1.6386900293362636,0.2758878171443939,0.005094044784525811,0.28853700163806295,0.007594044784525811,0.0,-0.0025,True,True,61,10.0,5,0.0,1.0,0.122,0.9863934516906738,-0.1712750494480133,0,False
53,6.103143421001732,6.1,0.09999999999999964,167,1.1070738481865514,0.6516082553495078,0.8005537657507177,1.6172437403414104,0.2722771465778351,0.005109873300892008,0.29364687493895497,0.007609873300892009,0.0,-0.0025,True,True,62,10.0,5,0.0,1.0,0.124,0.9799874424934387,-0.13150732219219208,0,False
54,6.20320371678099,6.2,0.10000000000000053,163,1.1223237815208549,0.6669394986659224,0.7774838975886562,1.5960468679666748,0.2687084674835205,0.005021371794701928,0.2986682467336569,0.007521371794701928,0.0,-0.0025,True,True,63,10.0,5,0.0,1.0,0.126,0.9819591641426086,0.17213861644268036,0,False
55,6.304130556061864,6.3,0.09999999999999964,154,1.1378040524532436,0.6820458496483696,0.7883696986842375,1.5749238115824216,0.2651522159576416,0.0049951793688102104,0.3036634261024671,0.007495179368810211,0.0,-0.0025,True,True,64,10.0,5,0.0,1.0,0.128,0.9831331968307495,0.10491545498371124,0,False
56,6.403722926042974,6.3999999999999995,0.09999999999999964,152,1.1526392274622388,0.6975924980107481,0.8077719113626552,1.5537972148628931,0.26159536838531494,0.004996435600267931,0.308659861702735,0.007496435600267931,0.0,-0.0025,True,True,65,10.0,5,0.0,1.0,0.13,0.9797673225402832,0.037671566009521484,0,False
57,6.504464196972549,6.5,0.10099999999999998,160,1.1674292261930095,0.7132703281823253,0.8189302412796405,1.5325950319852453,0.25802579522132874,0.00502325614188835,0.3136831178446234,0.00752325614188835,0.0,-0.0025,True,True,66,10.0,5,0.0,1.0,0.132,0.9376928806304932,-0.00890349131077528,0,False
58,6.605145248118788,6.6,0.10099999999999998,160,1.1816518609632158,0.7284690812571193,0.8197468964798738,1.5121125992689877,0.2545773983001709,0.00476786428655194,0.31845098213117534,0.00726786428655194,0.0,-0.0025,True,True,67,10.0,5,0.0,1.0,0.134,0.8762021064758301,0.15687847137451172,0,False
