episode,policy_type,fixed_fps,mean_fps,success,outcome,outcome_str,n_steps,episode_return,fresh_observations,native_scans,final_goal_distance_m,final_obs_interval,fresh_observation_ratio,native_scans_per_fresh_observation
1,fixed,10.0,10.0,True,1,SUCCESS,112,2.4207451001550884,120,599,0.19813712062436126,5,0.2003338898163606,4.991666666666666
2,fixed,10.0,10.0,True,1,SUCCESS,242,2.4407337310245443,296,1480,0.19715235424054814,5,0.2,5.0
3,fixed,10.0,10.0,True,1,SUCCESS,197,2.455114520730684,236,1177,0.1985546146616556,5,0.20050977060322855,4.987288135593221
4,fixed,10.0,10.0,True,1,SUCCESS,129,2.4103584260706237,131,651,0.19814552892063916,5,0.2012288786482335,4.969465648854962
5,fixed,10.0,10.0,True,1,SUCCESS,445,2.438632462796672,447,2235,0.19732251160469874,5,0.2,5.0
6,fixed,10.0,10.0,True,1,SUCCESS,157,2.4380711245311564,158,788,0.19631413561002106,5,0.20050761421319796,4.987341772151899
7,fixed,10.0,10.0,False,4,TIMEOUT,499,-0.8716205202720699,500,2500,1.6417541895167025,5,0.2,5.0
8,fixed,10.0,10.0,False,4,TIMEOUT,404,-1.0511034740624237,507,2531,1.2466147142319721,5,0.20031608060055314,4.992110453648915
9,fixed,10.0,10.0,True,1,SUCCESS,154,2.433220526309305,160,796,0.1995592290501037,5,0.20100502512562815,4.975
10,fixed,10.0,10.0,True,1,SUCCESS,251,2.448154657100046,348,1739,0.19801739091078271,5,0.20011500862564693,4.997126436781609
1,fixed,10.0,10.0,True,1,SUCCESS,396,1.415551495725266,478,2387,0.19889700933693083,5,0.20025136154168413,4.993723849372385
2,fixed,10.0,10.0,True,1,SUCCESS,151,2.060870554327405,158,790,0.19816254465705424,5,0.2,5.0
3,fixed,10.0,10.0,True,1,SUCCESS,162,1.9724237833639622,177,881,0.19655649368668446,5,0.20090805902383654,4.977401129943503
4,fixed,10.0,10.0,True,1,SUCCESS,39,2.2051691399588655,44,217,0.19971531358153652,5,0.20276497695852536,4.931818181818182
5,fixed,10.0,10.0,True,1,SUCCESS,110,2.147074671725602,118,589,0.1995799178843665,5,0.200339558573854,4.991525423728813
6,fixed,10.0,10.0,True,1,SUCCESS,34,2.2253077791233045,39,195,0.1983204657374109,5,0.2,5.0
7,fixed,10.0,10.0,False,4,TIMEOUT,406,-2.103028167148834,508,2539,1.3396164896357718,5,0.20007877116975187,4.998031496062992
8,fixed,10.0,10.0,True,1,SUCCESS,134,2.0966252583989595,142,709,0.1997405384703703,5,0.2002820874471086,4.992957746478873
9,fixed,10.0,10.0,True,1,SUCCESS,240,1.7805180265063862,306,1530,0.19800519888117973,5,0.2,5.0
10,fixed,10.0,10.0,True,1,SUCCESS,189,1.9401103025396846,220,1097,0.19935178753008914,5,0.20054694621695535,4.986363636363636
1,fixed,10.0,10.0,True,1,SUCCESS,386,1.4594667648986985,480,2398,0.1989463306327295,5,0.20016680567139283,4.995833333333334
2,fixed,10.0,10.0,True,1,SUCCESS,369,1.4914723771899687,458,2286,0.1996794898139735,5,0.20034995625546806,4.991266375545852
3,fixed,10.0,10.0,True,1,SUCCESS,401,1.4033755403173855,501,2502,0.19664152811456884,5,0.20023980815347722,4.994011976047904
4,fixed,10.0,10.0,True,1,SUCCESS,386,1.425456383208158,484,2420,0.19997012921294854,5,0.2,5.0
5,fixed,10.0,10.0,True,1,SUCCESS,278,1.7219885122980636,333,1665,0.196113664125079,5,0.2,5.0
