step,wall_time,sim_time,x,y,goal_distance_m,current_fps,obs_interval,frame_consumed,frame_penalty,frame_cost,episode_frame_count,scans_since_last_obs,instant_reward,cumulative_reward,outcome,outcome_str
1,0.18299877201206982,0.14000000000000057,-2.118109937031368,-0.13789032880754978,4.207381881201787,1.0,50,True,0.0,0.0,2,2,-0.004841261137661355,-0.004841261137661355,0,UNKNOWN: 0
2,0.283737676916644,0.240000000000002,-2.1305961513309644,-0.11969034575292324,4.223360122364534,1.0,50,False,0.0,0.0,2,7,-0.003816053891488086,-0.00865731502914944,0,UNKNOWN: 0
3,0.48379561910405755,0.4399999999999977,-2.1532542012485174,-0.08179313935347308,4.253542542683768,1.0,50,False,0.0,0.0,2,17,-0.007208411823340995,-0.015865726852490436,0,UNKNOWN: 0
4,0.5838341100607067,0.5399999999999991,-2.1633151150837846,-0.062129614657168555,4.267645114217864,1.0,50,False,0.0,0.0,2,22,-0.0033680911706446192,-0.019233818023135056,0,UNKNOWN: 0
5,0.6839659700635821,0.6400000000000006,-2.1724569824411932,-0.042022751789757465,4.281018376685329,1.0,50,False,0.0,0.0,2,27,-0.003193911630263846,-0.0224277296533989,0,UNKNOWN: 0
6,0.7841333800461143,0.740000000000002,-2.180631165826775,-0.021503806976814917,4.293615243627004,1.0,50,False,0.0,0.0,2,32,-0.003008486517615708,-0.02543621617101461,0,UNKNOWN: 0
7,0.984058503061533,0.9399999999999977,-2.1938786419705516,0.020635808461664417,4.316285072492868,1.0,50,False,0.0,0.0,2,42,-0.005414193451069261,-0.030850409622083873,0,UNKNOWN: 0
8,1.0841621940489858,1.0399999999999991,-2.198798322804024,0.042192787371500735,4.326207570167872,1.0,50,False,0.0,0.0,2,47,-0.002369771834102787,-0.03322018145618666,0,UNKNOWN: 0
9,1.184197474969551,1.1400000000000006,-2.202376466397517,0.06401364982296612,4.334984769381442,1.0,50,True,0.0,0.0,3,2,-0.002096242313165161,-0.03531642376935182,0,UNKNOWN: 0
10,1.284231215948239,1.240000000000002,-2.204846336922346,0.08596316463415216,4.3428156369760265,1.0,50,False,0.0,0.0,3,7,-0.0018702316765449064,-0.03718665544589672,0,UNKNOWN: 0
11,1.4845402059145272,1.4399999999999977,-2.2064881057399774,0.13003255380177764,4.355630234537109,1.0,50,False,0.0,0.0,3,17,-0.0030604867202052334,-0.04024714216610195,0,UNKNOWN: 0
12,1.5846115970052779,1.5399999999999991,-2.205596111390063,0.15184137962821478,4.360479077729633,1.0,50,False,0.0,0.0,3,22,-0.0011580402840073618,-0.04140518245010931,0,UNKNOWN: 0
13,1.684709357097745,1.6400000000000006,-2.2035367701995074,0.17383234643616216,4.364356098889193,1.0,50,False,0.0,0.0,3,27,-0.0009259418187912266,-0.04233112426890054,0,UNKNOWN: 0
14,1.784411750966683,1.740000000000002,-2.200356440512959,0.19569513825370108,4.367228018864203,1.0,50,False,0.0,0.0,3,32,-0.0006858953551304158,-0.043017019624030955,0,UNKNOWN: 0
15,1.9845290929079056,1.9399999999999977,-2.1906257827206446,0.2387792292917153,4.36988751872272,1.0,50,False,0.0,0.0,3,42,-0.0006351634501653768,-0.043652183074196334,0,UNKNOWN: 0
16,2.0848749219439924,2.039999999999999,-2.184083480632545,0.25988450200183266,4.369652440460466,1.0,50,False,0.0,0.0,3,47,5.614330816158983e-05,-0.043596039766034746,0,UNKNOWN: 0
17,2.1845771661028266,2.1400000000000006,-2.1764493348941385,0.2805874668639774,4.368367298755671,1.0,50,True,0.0,0.0,4,2,0.0003069280250400557,-0.04328911174099469,0,UNKNOWN: 0
18,2.2846920860465616,2.240000000000002,-2.1678845508258595,0.30077910474390795,4.366152465007684,1.0,50,False,0.0,0.0,4,7,0.000528964662437866,-0.04276014707855682,0,UNKNOWN: 0
19,2.4848594770301133,2.4399999999999977,-2.1480476838837275,0.33985247902591226,4.3590714404243265,1.0,50,False,0.0,0.0,4,17,0.0016911480520175042,-0.041068999026539314,0,UNKNOWN: 0
20,2.5851290959399194,2.539999999999999,-2.1368271849155054,0.35865110634910213,4.354224721432968,1.0,50,False,0.0,0.0,4,22,0.001157532964957652,-0.03991146606158166,0,UNKNOWN: 0
21,2.68516954802908,2.6400000000000006,-2.1247737590125912,0.3769105039993663,4.348521595338608,1.0,50,False,0.0,0.0,4,27,0.001362067095142596,-0.038549398966439066,0,UNKNOWN: 0
22,2.785242527956143,2.740000000000002,-2.1119219592415983,0.3945945487147631,4.341980825918202,1.0,50,False,0.0,0.0,4,32,0.0015621199070558107,-0.03698727905938325,0,UNKNOWN: 0
23,2.9852983409073204,2.9399999999999977,-2.083942722611425,0.4280978612969061,4.326436275826632,1.0,50,False,0.0,0.0,4,42,0.003712476252183934,-0.03327480280719932,0,UNKNOWN: 0
24,3.085477571003139,3.039999999999999,-2.0688775302904268,0.44384780295296716,4.317460109770612,1.0,50,False,0.0,0.0,4,47,0.0021437611974827447,-0.031131041609716574,0,UNKNOWN: 0
25,3.185053955996409,3.1400000000000006,-2.0531109563273295,0.45893982066558703,4.307692324747121,1.0,50,True,0.0,0.0,5,2,0.0023328220966532375,-0.028798219513063335,0,UNKNOWN: 0
26,3.285202855942771,3.240000000000002,-2.0368596569823048,0.4737909059130257,4.2974756252107715,1.0,50,False,0.0,0.0,5,7,0.002440035522479743,-0.02635818399058359,0,UNKNOWN: 0
27,3.4852812490426004,3.4399999999999977,-2.0039568197429523,0.5030531137516789,4.2767791792271455,1.0,50,False,0.0,0.0,5,17,0.004942894053941689,-0.0214152899366419,0,UNKNOWN: 0
28,3.585261350031942,3.539999999999999,-1.9873071631021446,0.5174561721779549,4.266297308578704,1.0,50,False,0.0,0.0,5,22,0.0025033658505116563,-0.018911924086130245,0,UNKNOWN: 0
29,3.6853593511041254,3.6400000000000006,-1.9705217751905013,0.5317026711036387,4.255720556944896,1.0,50,False,0.0,0.0,5,27,0.0025260261013957943,-0.01638589798473445,0,UNKNOWN: 0
30,3.785306913079694,3.740000000000002,-1.9536017734100615,0.5457916928978812,4.245048924325719,1.0,50,False,0.0,0.0,5,32,0.0025486863522805685,-0.013837211632453881,0,UNKNOWN: 0
31,3.9853952249977738,3.9399999999999977,-1.9193684993884264,0.5734888322535653,4.223424910500065,1.0,50,False,0.0,0.0,5,42,0.005164423372290002,-0.008672788260163879,0,UNKNOWN: 0
32,4.085485056042671,4.039999999999999,-1.9020584845978705,0.5870930323526204,4.212472529293588,1.0,50,False,0.0,0.0,5,47,0.002615737020009646,-0.006057051240154232,0,UNKNOWN: 0
33,4.185763275017962,4.140000000000001,-1.8846292146857029,0.600530641010619,4.201433409872875,1.0,50,True,0.0,0.0,6,2,0.0026364525478703915,-0.003420598692283841,0,UNKNOWN: 0
34,4.285727846901864,4.240000000000002,-1.8675989478418407,0.6142874428073,4.190972073169028,1.0,50,False,0.0,0.0,6,7,0.0024984617663650274,-0.0009221369259188135,0,UNKNOWN: 0
35,4.485545011935756,4.439999999999998,-1.8360215235016726,0.6445801212958183,4.173692050725695,1.0,50,False,0.0,0.0,6,17,0.004126955915750161,0.003204818989831348,0,UNKNOWN: 0
36,4.586807782063261,4.539999999999999,-1.821555331502122,0.6610059648767981,4.166920451445365,1.0,50,False,0.0,0.0,6,22,0.001617248577117981,0.004822067566949329,0,UNKNOWN: 0
37,4.688253720989451,4.659999999999997,-1.8053957668706275,0.681713579166243,4.1604324330205555,1.0,50,False,0.0,0.0,6,28,0.0015495214839893613,0.00637158905093869,0,UNKNOWN: 0
38,4.789108915021643,4.759999999999998,-1.7929882815883442,0.699742843576215,4.156426897690516,1.0,50,False,0.0,0.0,6,33,0.0009566346212952745,0.007328223672233965,0,UNKNOWN: 0
39,4.89002331905067,4.859999999999999,-1.7816428688378703,0.7184480199739448,4.153779789005463,1.0,50,False,0.0,0.0,6,38,0.0006322040890421404,0.007960427761276105,0,UNKNOWN: 0
40,5.0903211201075464,5.060000000000002,-1.762592150458982,0.7577710288452512,4.1529336488747575,1.0,50,False,0.0,0.0,6,48,0.0002020820881118417,0.008162509849387947,0,UNKNOWN: 0
41,5.190410130890086,5.159999999999997,-1.7550899172767744,0.7783205653675506,4.154891454281786,1.0,50,True,0.0,0.0,7,3,-0.0004675790574299822,0.007694930791957965,0,UNKNOWN: 0
42,5.290216864086688,5.259999999999998,-1.7475472113901476,0.7990883652865929,4.157021674016702,1.0,50,False,0.0,0.0,7,8,-0.0005087564536268304,0.007186174338331135,0,UNKNOWN: 0
43,5.39048743294552,5.359999999999999,-1.7389263314864598,0.8194276461961326,4.158111035180793,1.0,50,False,0.0,0.0,7,13,-0.0002601701192968241,0.006926004219034311,0,UNKNOWN: 0
44,5.59048074693419,5.560000000000002,-1.7184525018328576,0.8585622252905746,4.1570592015706165,1.0,50,False,0.0,0.0,7,23,0.0002512074827529412,0.007177211701787253,0,UNKNOWN: 0
45,5.690528318053111,5.659999999999997,-1.7066184752325244,0.8772252202215585,4.154876230840103,1.0,50,False,0.0,0.0,7,28,0.0005213548766932798,0.007698566578480532,0,UNKNOWN: 0
46,5.790531049016863,5.759999999999998,-1.6937364057685202,0.8951865564441819,4.1515564584528155,1.0,50,False,0.0,0.0,7,33,0.000792855121432279,0.00849142169991281,0,UNKNOWN: 0
47,5.890613789903,5.859999999999999,-1.6798263980272672,0.9123673171419694,4.147079704497686,1.0,50,False,0.0,0.0,7,38,0.001069174897143097,0.009560596597055908,0,UNKNOWN: 0
48,6.090746052097529,6.060000000000002,-1.6490411565340946,0.9440735342426707,4.134600730720665,1.0,50,False,0.0,0.0,7,48,0.0029803303103599966,0.012540926907415904,0,UNKNOWN: 0
